coordinate_setting,model,species,split_type,n_test_plots,k_neighbours,permutations,morans_i,permutation_p
with_coords,GAM_multi_with_coords,Egernia mcpheei,spatial,128,8,999,-0.019614845814867596,0.595
with_coords,GAM_multi_with_coords,Eulamprus murrayi,random,128,8,999,0.01023920165575635,0.324
with_coords,GAM_multi_with_coords,Eulamprus murrayi,spatial,128,8,999,0.6408123763528163,0.001
with_coords,GAM_multi_with_coords,Ophioscincus truncatus,random,128,8,999,0.15074006950677843,0.001
with_coords,GAM_multi_with_coords,Ophioscincus truncatus,spatial,128,8,999,0.3816084746964049,0.001
with_coords,GAM_multi_with_coords,Pseudechis porphyricaus,random,128,8,999,0.0077284041096216775,0.953
with_coords,GAM_multi_with_coords,Pseudechis porphyricaus,spatial,128,8,999,0.011680387452560378,0.691
with_coords,GAM_multi_with_coords,Saltuarius swaini,random,128,8,999,0.022552843081207544,0.078
with_coords,GAM_multi_with_coords,Saltuarius swaini,spatial,128,8,999,0.6453363331463791,0.001
with_coords,GAM_single_with_coords,Cacophis kreftii,random,128,8,999,0.0974214066649165,0.018
with_coords,GAM_single_with_coords,Cacophis kreftii,spatial,128,8,999,0.1896868975664708,0.001
with_coords,GAM_single_with_coords,Calyptotis scutirostrum,random,128,8,999,0.04524627057837777,0.247
with_coords,GAM_single_with_coords,Calyptotis scutirostrum,spatial,128,8,999,0.14875584317526705,0.002
with_coords,GAM_single_with_coords,Coeranoscincus reticulatus,random,128,8,999,0.0457065932547091,0.254
with_coords,GAM_single_with_coords,Coeranoscincus reticulatus,spatial,128,8,999,0.354274192206065,0.001
with_coords,GAM_single_with_coords,Egernia mcpheei,random,128,8,999,0.03680202527368783,0.181
with_coords,GAM_single_with_coords,Egernia mcpheei,spatial,128,8,999,-0.005342627001448605,0.875
with_coords,GAM_single_with_coords,Eulamprus murrayi,random,128,8,999,-0.002947906634808357,0.969
with_coords,GAM_single_with_coords,Eulamprus murrayi,spatial,128,8,999,0.6922962088132014,0.001
with_coords,GAM_single_with_coords,Ophioscincus truncatus,random,128,8,999,0.15795997853267488,0.001
with_coords,GAM_single_with_coords,Ophioscincus truncatus,spatial,128,8,999,0.22613131658297744,0.001
with_coords,GAM_single_with_coords,Pseudechis porphyricaus,random,128,8,999,-0.010973350395810101,0.911
with_coords,GAM_single_with_coords,Pseudechis porphyricaus,spatial,128,8,999,-0.01665307095095187,0.455
with_coords,GAM_single_with_coords,Saltuarius swaini,random,128,8,999,-0.017378426366163092,0.01
with_coords,GAM_single_with_coords,Saltuarius swaini,spatial,128,8,999,0.758328758601457,0.001
no_coords,GAM_multi_interactions_no_coords,Cacophis kreftii,random,128,8,999,0.08283940859736304,0.025
no_coords,GAM_multi_interactions_no_coords,Cacophis kreftii,spatial,128,8,999,0.08783336604775735,0.001
no_coords,GAM_multi_interactions_no_coords,Calyptotis scutirostrum,random,128,8,999,0.08213555242902941,0.036
no_coords,GAM_multi_interactions_no_coords,Calyptotis scutirostrum,spatial,128,8,999,0.19597376669681993,0.001
no_coords,GAM_multi_interactions_no_coords,Coeranoscincus reticulatus,random,128,8,999,0.1085009955423443,0.008
no_coords,GAM_multi_interactions_no_coords,Coeranoscincus reticulatus,spatial,128,8,999,0.29076615615028223,0.001
no_coords,GAM_multi_interactions_no_coords,Egernia mcpheei,random,128,8,999,0.028178118147831225,0.398
no_coords,GAM_multi_interactions_no_coords,Egernia mcpheei,spatial,128,8,999,-0.02257107013738123,0.558
no_coords,GAM_multi_interactions_no_coords,Eulamprus murrayi,random,128,8,999,0.003938690942085793,0.772
no_coords,GAM_multi_interactions_no_coords,Eulamprus murrayi,spatial,128,8,999,0.5284520613051217,0.001
