approach,species,n,positives,prevalence,log_loss,auc,brier,f1,sensitivity,specificity
single_species,Cacophis kreftii,128,4,0.03125,0.1085638845870755,0.875,0.028842318073937768,0.0,0.0,1.0
single_species,Calyptotis scutirostrum,128,10,0.078125,0.18220617839582107,0.9033898305084745,0.052290375350440774,0.3076923076923077,0.2,0.9915254237288136
single_species,Coeranoscincus reticulatus,128,21,0.1640625,0.3052422580671468,0.8878504672897196,0.09623649931656603,0.375,0.2857142857142857,0.9532710280373832
single_species,Egernia mcpheei,128,2,0.015625,0.07019477773366087,0.861111111111111,0.015068627613124564,0.0,0.0,1.0
single_species,Eulamprus murrayi,129,1,0.007751937984496124,0.04736464757816867,0.1328125,0.0077104016940439364,0.0,0.0,1.0
single_species,Ophioscincus truncatus,128,23,0.1796875,0.4052863894813601,0.74824016563147,0.12622787184979303,0.3125,0.21739130434782608,0.9619047619047619
single_species,Pseudechis porphyricaus,128,3,0.0234375,0.09774341691846997,0.9013333333333334,0.02220848597255555,0.0,0.0,1.0
single_species,Saltuarius swaini,129,2,0.015503875968992248,0.07961432956900114,0.7637795275590551,0.015256642968865107,0.0,0.0,1.0
