approach,n,positives,prevalence,log_loss,auc,brier,f1,sensitivity,specificity
single_species,1026,66,0.06432748538011696,0.16183490440104997,0.8903251262626263,0.04541388261997733,0.29213483146067415,0.19696969696969696,0.9895833333333334
multi_interactions,1026,66,0.06432748538011696,0.16322664136744455,0.8842329545454547,0.0455698088520183,0.3111111111111111,0.21212121212121213,0.9895833333333334
multi_species,1026,66,0.06432748538011696,0.1869749016666114,0.8400883838383838,0.0512896731069163,0.08571428571428572,0.045454545454545456,0.9989583333333333
