approach,n,positives,prevalence,log_loss,brier,auc,f1,sensitivity,specificity
single_species,1026,66,0.06432748538011696,0.1612976106877814,0.04536834373884212,0.8915088383838383,0.29213483146067415,0.19696969696969696,0.9895833333333334
multi_species_interactions,1026,66,0.06432748538011696,0.16243174671046134,0.0449965441727378,0.8851641414141415,0.3617021276595745,0.25757575757575757,0.9885416666666667
multi_species,1026,66,0.06432748538011696,0.1869749016666115,0.05128967310691633,0.8400883838383838,0.08571428571428572,0.045454545454545456,0.9989583333333333
