species,n,positives,prevalence,log_loss,brier,auc,f1,sensitivity,specificity
Ophioscincus truncatus,128,23,0.1796875,0.4434663798394492,0.1341440151869994,0.6695652173913044,0.16,0.08695652173913043,1.0
Coeranoscincus reticulatus,128,21,0.1640625,0.3840726114600961,0.12353176190701004,0.7734757454383623,0.08695652173913043,0.047619047619047616,0.9906542056074766
Calyptotis scutirostrum,128,10,0.078125,0.22484719826143681,0.06328954248951019,0.8177966101694916,0.0,0.0,1.0
Cacophis kreftii,128,4,0.03125,0.10997718519341541,0.02772681316388125,0.9012096774193548,0.0,0.0,1.0
Pseudechis porphyricaus,128,3,0.0234375,0.1075061992720496,0.023220760904149013,0.7173333333333333,0.0,0.0,1.0
Egernia mcpheei,128,2,0.015625,0.08042771003732557,0.0156807962553731,0.6587301587301587,0.0,0.0,1.0
Saltuarius swaini,129,2,0.015503875968992248,0.1123503331548746,0.016137878291304326,0.07874015748031499,0.0,0.0,1.0
Eulamprus murrayi,129,1,0.007751937984496124,0.03740297544832485,0.0075084064795898605,0.9375,0.0,0.0,1.0
