species,n_val,presence_rate,log_loss_single,log_loss_multi,log_loss_multi_int,best_approach
Cacophis kreftii,129,0.03875968992248062,0.19472570791795102,0.22663111451760973,0.1860702267054002,multi_int
Calyptotis scutirostrum,129,0.07751937984496124,0.2988838194319546,0.31916308567270374,0.33072013430021846,single
Coeranoscincus reticulatus,129,0.16279069767441862,0.37411227372990824,0.47752942638255164,0.5010244229531834,single
Egernia mcpheei,129,0.007751937984496124,0.1816789459084113,0.1744041575771981,0.14233865207964888,multi_int
Eulamprus murrayi,129,0.0,0.05983729288364142,0.06907041118380317,0.04159156997957409,multi_int
Ophioscincus truncatus,129,0.17829457364341086,0.46912881755768665,0.6446103484454957,0.6481113685005576,single
Pseudechis porphyricaus,129,0.023255813953488372,0.18385595269854782,0.15350457882423962,0.14761503057954953,multi_int
Saltuarius swaini,129,0.015503875968992248,0.1714384179397182,0.13664939317902333,0.12468155258099632,multi_int
