test_plot,nearest_train_plot,distance_km
106.0,101.0,0.45099953396976106
111.0,104.0,0.6358275884680809
122.0,108.0,1.7054044196207712
125.0,120.0,0.6355451651215651
126.0,108.0,2.419267368260927
127.0,121.0,0.8251202861482491
128.0,118.0,1.2289289596502873
130.0,121.0,1.6502352443758128
132.0,112.0,3.2957803298228843
134.0,118.0,2.4884033508112067
135.0,107.0,10.68638932245463
136.0,107.0,9.157244968119064
137.0,107.0,11.606988495291237
138.0,131.0,3.1211025525292895
139.0,107.0,11.753331543392758
140.0,107.0,12.473817187635643
141.0,107.0,12.64718659946005
142.0,107.0,13.42796780756335
143.0,107.0,13.773137000056666
144.0,131.0,4.254520481193926
145.0,107.0,14.052648774019987
146.0,131.0,4.463813531165384
147.0,107.0,13.4764590556682
148.0,107.0,13.25566938369974
149.0,107.0,14.087906980557666
150.0,131.0,5.014013477732235
151.0,131.0,5.2392330506970595
152.0,131.0,5.638468592005846
153.0,107.0,16.37459837892627
154.0,107.0,16.34499977639678
155.0,107.0,14.62902645447408
156.0,107.0,16.27273095357038
157.0,107.0,16.247700592262323
158.0,107.0,16.398993946785772
159.0,107.0,16.376606976236825
160.0,107.0,16.526717397786058
161.0,107.0,16.925685243829758
162.0,107.0,16.899074453133593
163.0,123.0,12.457338464573484
164.0,131.0,11.780104250589266
165.0,123.0,14.355778428363013
166.0,123.0,14.976438987730276
167.0,123.0,15.289042253161254
168.0,121.0,15.978521063125587
169.0,118.0,16.500768910506068
170.0,118.0,17.493454891028314
171.0,131.0,22.798502877109556
172.0,103.0,25.631624159394526
173.0,131.0,23.432615491501856
174.0,104.0,26.357244526850067
175.0,131.0,24.450223489364795
176.0,103.0,26.93758402904805
177.0,131.0,25.218732160678954
178.0,103.0,31.30448603380868
179.0,103.0,33.41475379465338
180.0,131.0,28.503198175379797
181.0,131.0,28.55586926644073
182.0,103.0,33.53082333969207
183.0,131.0,29.720153635844106
184.0,131.0,29.89596357189553
185.0,103.0,34.04227190006431
186.0,131.0,30.117221593425654
187.0,103.0,34.19038266782281
188.0,103.0,34.52601272745809
189.0,121.0,31.954937514584948
190.0,121.0,32.15520380541276
191.0,103.0,34.741790132818636
192.0,121.0,32.75648518801824
193.0,103.0,35.42194622867337
194.0,123.0,32.96987533371847
195.0,103.0,35.48832958463753
196.0,121.0,33.157151535025626
197.0,131.0,31.96664873107992
198.0,121.0,34.75982099171119
199.0,121.0,35.159450486442815
200.0,251.0,37.834805318436
201.0,121.0,35.56123788240446
202.0,121.0,35.76046941199192
203.0,251.0,36.24000154856444
204.0,121.0,37.375377365546775
205.0,121.0,38.18195540825688
206.0,121.0,38.978058476873585
207.0,251.0,34.6541583314395
208.0,123.0,39.314710567480766
209.0,123.0,39.38656299137966
210.0,121.0,39.38801129823713
211.0,251.0,32.24493787638765
212.0,251.0,32.12481657108226
213.0,251.0,31.34798281785487
214.0,264.0,36.723795353960746
215.0,264.0,36.60070846089251
216.0,264.0,36.247404399920235
217.0,264.0,35.89491299366542
218.0,264.0,36.08604115956266
219.0,264.0,35.364942700103285
220.0,264.0,35.08665264899804
221.0,251.0,24.425904419067425
222.0,264.0,34.39037636199025
223.0,264.0,34.35680616479529
224.0,251.0,23.893696397669277
225.0,251.0,23.270912938073273
226.0,251.0,22.146130346614147
227.0,264.0,33.60311938490061
228.0,264.0,32.00808163330207
229.0,264.0,31.71447404201291
230.0,262.0,25.803650034877702
231.0,264.0,30.683555092978978
232.0,251.0,20.126250288088514
233.0,251.0,19.62794432962066
234.0,251.0,18.874439883396033
235.0,251.0,12.334246691169927
236.0,251.0,11.577416256805039
237.0,251.0,11.613686844350628
238.0,262.0,13.672253040463579
239.0,262.0,13.03884932175555
240.0,264.0,12.762820974556098
241.0,264.0,12.413227184767802
242.0,262.0,9.803671253415613
243.0,262.0,9.006540795353684
244.0,262.0,8.146014866673614
245.0,262.0,8.351867087892407
246.0,262.0,8.18875134133892
247.0,262.0,8.027312148931808
248.0,250.0,1.7305462174241992
249.0,250.0,0.8964639649605262
252.0,262.0,4.855954792536187
254.0,262.0,3.9466055437568754
255.0,262.0,1.4012003317730959
