coordinate_setting,model,n_species,spearman_rho,permutation_p,permutations
with_coords,Logistic_multi_interactions_with_coords,6,0.2571428571428572,0.667,999
with_coords,Logistic_multi_with_coords,6,-0.028571428571428574,1.0,999
with_coords,Logistic_single_with_coords,6,0.3142857142857143,0.548,999
no_coords,Logistic_multi_interactions_no_coords,6,0.48571428571428577,0.36,999
no_coords,Logistic_multi_no_coords,6,-0.7142857142857143,0.138,999
no_coords,Logistic_single_no_coords,6,0.2571428571428572,0.652,999
