model,split_type,use_coords,species,model__alpha,model__hidden_layer_sizes,model__learning_rate_init,mean_cv_log_loss,std_cv_log_loss
MLP_single_no_coords,spatial,False,Cacophis kreftii,0.3,"(16, 8)",0.001,0.13567749720648953,0.02050898640990988
MLP_single_no_coords,spatial,False,Calyptotis scutirostrum,0.01,"(16,)",0.01,0.1687160176342992,0.09658356122518752
MLP_single_no_coords,spatial,False,Coeranoscincus reticulatus,0.1,"(16,)",0.01,0.3060388098539701,0.06105561628367541
MLP_single_no_coords,spatial,False,Egernia mcpheei,0.3,"(16, 8)",0.01,0.06038932384107161,0.05736243944807141
MLP_single_no_coords,spatial,False,Eulamprus murrayi,1.0,"(16,)",0.01,0.04229119011664226,0.03429320373082247
MLP_single_no_coords,spatial,False,Ophioscincus truncatus,0.0001,"(32,)",0.001,0.4017715203188579,0.04307746368310115
MLP_single_no_coords,spatial,False,Pseudechis porphyricaus,0.1,"(16,)",0.01,0.10159788319317638,0.05940070757637126
MLP_single_no_coords,spatial,False,Saltuarius swaini,1.0,"(16,)",0.01,0.08449544590154488,0.033431971763093475
