model,split_type,use_coords,species,candidate,fold,model__alpha,model__hidden_layer_sizes,model__learning_rate_init,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
MLP_single_with_coords,random,True,Cacophis kreftii,6,4,0.0001,"(32,)",0.001,103,5,0.1827717459457463,0.863265306122449,0.1796969696969697,0.0477893469754072,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,6,5,0.0001,"(32,)",0.001,102,3,0.10069758386114303,0.8922558922558923,0.16666666666666669,0.027551458693999182,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,7,1,0.0001,"(16, 8)",0.01,103,2,0.1495448737373035,0.8712871287128712,0.11688311688311688,0.025943806541452043,0.0,0.0,0.9801980198019802
MLP_single_with_coords,random,True,Cacophis kreftii,7,2,0.0001,"(16, 8)",0.01,103,3,0.1705242831701598,0.8566666666666667,0.1264069264069264,0.03039110542649937,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,7,3,0.0001,"(16, 8)",0.01,102,3,0.06861356584029583,0.9663299663299663,0.3595238095238095,0.022562739953778974,0.0,0.0,0.98989898989899
MLP_single_with_coords,random,True,Cacophis kreftii,7,4,0.0001,"(16, 8)",0.01,103,5,0.21624209174408118,0.8918367346938776,0.20805860805860804,0.0505080628418876,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,7,5,0.0001,"(16, 8)",0.01,102,3,0.12003502542248254,0.898989898989899,0.1736111111111111,0.03769138816548562,0.0,0.0,0.9595959595959596
MLP_single_with_coords,random,True,Cacophis kreftii,8,1,0.0001,"(16, 8)",0.001,103,2,0.0907254282292969,0.8267326732673268,0.07738095238095238,0.020828128564285127,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,8,2,0.0001,"(16, 8)",0.001,103,3,0.11275631723385329,0.8866666666666667,0.1449346405228758,0.028693616330006784,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,8,3,0.0001,"(16, 8)",0.001,102,3,0.0867361931486755,0.9393939393939393,0.24074074074074076,0.025769223736033516,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,8,4,0.0001,"(16, 8)",0.001,103,5,0.16172902226603295,0.8979591836734694,0.2166440422322775,0.04685323773292794,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,8,5,0.0001,"(16, 8)",0.001,102,3,0.0899993162223918,0.9225589225589226,0.20555555555555557,0.02616454413967019,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,9,1,0.001,"(8,)",0.01,103,2,0.07519677175754738,0.900990099009901,0.12878787878787878,0.020732011653704228,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,9,2,0.001,"(8,)",0.01,103,3,0.11297978248287228,0.9166666666666667,0.18514818514818515,0.03530124985866378,0.0,0.0,0.98
MLP_single_with_coords,random,True,Cacophis kreftii,9,3,0.001,"(8,)",0.01,102,3,0.09272555267957032,0.9326599326599326,0.23333333333333334,0.027838224541683863,0.0,0.0,0.98989898989899
MLP_single_with_coords,random,True,Cacophis kreftii,9,4,0.001,"(8,)",0.01,103,5,0.20419872904924358,0.8081632653061224,0.1771978021978022,0.047196853574745616,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,9,5,0.001,"(8,)",0.01,102,3,0.07877554224454424,0.9663299663299664,0.3888888888888889,0.024182363483868517,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,10,1,0.001,"(8,)",0.001,103,2,0.07551714519215996,0.9455445544554456,0.225,0.01887997194366721,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,10,2,0.001,"(8,)",0.001,103,3,0.12136016166796315,0.8066666666666666,0.11994949494949494,0.029730575010497747,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,10,3,0.001,"(8,)",0.001,102,3,0.1052548959077991,0.9090909090909091,0.19771241830065361,0.027606946074870718,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,10,4,0.001,"(8,)",0.001,103,5,0.18947572159438408,0.7326530612244898,0.17727831431079893,0.04636791202772174,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,10,5,0.001,"(8,)",0.001,102,3,0.09351691959637468,0.9326599326599326,0.2550505050505051,0.025463583044322335,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,11,1,0.001,"(16,)",0.01,103,2,0.08883530797132855,0.8811881188118812,0.1111111111111111,0.023802217485415878,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,11,2,0.001,"(16,)",0.01,103,3,0.11185724255214871,0.9266666666666666,0.21216931216931217,0.0345236923077915,0.0,0.0,0.98
MLP_single_with_coords,random,True,Cacophis kreftii,11,3,0.001,"(16,)",0.01,102,3,0.087134961958618,0.9494949494949495,0.29444444444444445,0.025770051093694873,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,11,4,0.001,"(16,)",0.01,103,5,0.21416565628532327,0.9020408163265305,0.22469654528478056,0.059161686821714986,0.0,0.0,0.9591836734693877
MLP_single_with_coords,random,True,Cacophis kreftii,11,5,0.001,"(16,)",0.01,102,3,0.11619492884950472,0.9461279461279462,0.26868686868686864,0.035986563674326406,0.0,0.0,0.9696969696969697
MLP_single_with_coords,random,True,Cacophis kreftii,12,1,0.001,"(16,)",0.001,103,2,0.07782248521483771,0.8861386138613861,0.14761904761904762,0.018646275248316118,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,12,2,0.001,"(16,)",0.001,103,3,0.09604139168883352,0.9233333333333333,0.20476190476190476,0.026225296490226542,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,12,3,0.001,"(16,)",0.001,102,3,0.09173462659284815,0.9326599326599326,0.4666666666666667,0.02440852590416533,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,12,4,0.001,"(16,)",0.001,103,5,0.17848070253201823,0.8714285714285714,0.18500754147812973,0.04942000322850723,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,12,5,0.001,"(16,)",0.001,102,3,0.09469193256493465,0.9259259259259259,0.29444444444444445,0.025251270253134266,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,13,1,0.001,"(32,)",0.01,103,2,0.08087842252016444,0.900990099009901,0.12878787878787878,0.022227539538765894,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,13,2,0.001,"(32,)",0.01,103,3,0.13310970937649452,0.88,0.14239028944911297,0.02959338243670896,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,13,3,0.001,"(32,)",0.01,102,3,0.07850028923866663,0.9427609427609428,0.3242424242424242,0.023785488834921695,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,13,4,0.001,"(32,)",0.01,103,5,0.2914948855374926,0.8877551020408163,0.20850649350649353,0.06810070014741394,0.0,0.0,0.9489795918367347
MLP_single_with_coords,random,True,Cacophis kreftii,13,5,0.001,"(32,)",0.01,102,3,0.12509401765223835,0.9225589225589226,0.19761904761904764,0.042348023430999686,0.0,0.0,0.9696969696969697
MLP_single_with_coords,random,True,Cacophis kreftii,14,1,0.001,"(32,)",0.001,103,2,0.07817690260258674,0.8811881188118812,0.10833333333333334,0.019964026700992538,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,14,2,0.001,"(32,)",0.001,103,3,0.10890028718017843,0.8700000000000001,0.13690476190476192,0.027908166535352576,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,14,3,0.001,"(32,)",0.001,102,3,0.08719993404770535,0.9629629629629629,0.3472222222222222,0.024089240974687617,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,14,4,0.001,"(32,)",0.001,103,5,0.18236935841714558,0.863265306122449,0.1796969696969697,0.04774215344284824,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,14,5,0.001,"(32,)",0.001,102,3,0.09965085326768883,0.8922558922558923,0.16666666666666669,0.02715235176320553,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,15,1,0.001,"(16, 8)",0.01,103,2,0.1327745312674733,0.8415841584158416,0.08391608391608392,0.030311282505979444,0.0,0.0,0.9801980198019802
MLP_single_with_coords,random,True,Cacophis kreftii,15,2,0.001,"(16, 8)",0.01,103,3,0.20452598395543584,0.8833333333333333,0.14393939393939395,0.0365664878122335,0.0,0.0,0.99
MLP_single_with_coords,random,True,Cacophis kreftii,15,3,0.001,"(16, 8)",0.01,102,3,0.07763372149877584,0.962962962962963,0.35555555555555557,0.027283743315486726,0.3333333333333333,0.3333333333333333,0.9797979797979798
