coordinate_setting,model,species,random,spatial,optimism_gap_auc,morans_i
no_coords,XGBoost_multi_no_coords,Cacophis kreftii,0.8709677419354839,0.984251968503937,-0.11328422656845316,0.10411632288748697
no_coords,XGBoost_multi_no_coords,Calyptotis scutirostrum,0.9051339285714286,0.788628762541806,0.11650516602962258,0.2603751136230464
no_coords,XGBoost_multi_no_coords,Coeranoscincus reticulatus,0.8236111111111111,0.8375,-0.01388888888888895,0.24460364819234276
no_coords,XGBoost_multi_no_coords,Egernia mcpheei,0.912,0.7377049180327869,0.1742950819672131,-0.019693754987100055
no_coords,XGBoost_multi_no_coords,Eulamprus murrayi,0.4015748031496063,,,0.2621133263149238
no_coords,XGBoost_multi_no_coords,Ophioscincus truncatus,0.7835595776772247,0.8060200668896321,-0.022460489212407397,0.19977940976718828
no_coords,XGBoost_multi_no_coords,Pseudechis porphyricaus,0.4826666666666667,0.6626984126984127,-0.180031746031746,-0.007959667840743248
no_coords,XGBoost_multi_no_coords,Saltuarius swaini,0.6299212598425197,,,0.31014877148284015
no_coords,XGBoost_single_no_coords,Cacophis kreftii,0.717741935483871,0.9763779527559056,-0.25863601727203456,0.38575588964227564
no_coords,XGBoost_single_no_coords,Calyptotis scutirostrum,0.9073660714285714,0.8240802675585285,0.08328580387004292,0.2959479648475814
no_coords,XGBoost_single_no_coords,Coeranoscincus reticulatus,0.7935185185185185,0.8315340909090909,-0.038015572390572405,0.2555266606069935
no_coords,XGBoost_single_no_coords,Egernia mcpheei,0.912,0.6885245901639344,0.22347540983606562,0.05169272234112261
no_coords,XGBoost_single_no_coords,Eulamprus murrayi,0.5,,,0.1934792727645217
no_coords,XGBoost_single_no_coords,Ophioscincus truncatus,0.7722473604826546,0.8521739130434782,-0.0799265525608236,0.08862262732743739
no_coords,XGBoost_single_no_coords,Pseudechis porphyricaus,0.4666666666666667,0.7242063492063492,-0.2575396825396825,-0.018433486415841242
no_coords,XGBoost_single_no_coords,Saltuarius swaini,0.33070866141732286,,,0.43670301139695583
