coordinate_setting,model,n_species,spearman_rho,permutation_p,permutations
with_coords,XGBoost_multi_interactions_with_coords,6,0.3714285714285715,0.499,999
with_coords,XGBoost_single_with_coords,6,0.2,0.714,999
