species,n_train,n_test,prevalence_train,log_loss_single,auc_single,log_loss_multi,auc_multi,log_loss_multi_int,auc_multi_int,best_approach
Cacophis kreftii,513,128,0.031189083820662766,0.08523626813475992,0.9576612903225806,0.10814366700115124,0.9274193548387096,0.09510556199298695,0.9475806451612903,single
Calyptotis scutirostrum,513,128,0.07797270955165692,0.202957967343322,0.9110169491525424,0.21349668733600122,0.8559322033898306,0.2102213704845428,0.9042372881355932,single
Coeranoscincus reticulatus,513,128,0.1617933723196881,0.3044982788548478,0.8940809968847352,0.31505167505174936,0.8971962616822431,0.327141153540761,0.8967512238540274,single
Egernia mcpheei,513,128,0.01949317738791423,0.09106409731588086,0.7857142857142857,0.1173608566382651,0.5992063492063493,0.09425621975386224,0.7142857142857143,single
Eulamprus murrayi,512,129,0.00390625,0.12025423318552057,0.28515625,0.035437789486641516,0.9765625,0.049464572642483016,0.7421875,multi
Ophioscincus truncatus,513,128,0.17738791423001948,0.4089240189179226,0.805383022774327,0.43101504169589766,0.808695652173913,0.44426695786926157,0.8095238095238095,single
Pseudechis porphyricaus,513,128,0.021442495126705652,0.07701659271114822,0.9493333333333334,0.08601826542884707,0.912,0.08341602258863454,0.8986666666666666,single
Saltuarius swaini,512,129,0.01171875,0.087412990501002,0.6850393700787402,0.10251317987146764,0.3700787401574803,0.08591596219295082,0.6496062992125984,multi_int
