model,overall_log_loss_single,overall_log_loss_multi,overall_log_loss_multi_interactions,best_overall
LogisticRegression,0.4456124325242829,0.5190402593874145,0.4530676882414628,single
RandomForest,0.1720373454533433,0.1759207678076421,0.17351678521561134,single
MLP,0.3756578960961161,0.2669322171280307,0.21728206998085675,multi_int
XGBoost,0.21005212087130332,0.2833373434547449,0.25163737393909313,single
