model,species,random,spatial,optimism_gap_auc,morans_i
MLP_multi_no_coords,Cacophis kreftii,0.8346774193548387,0.8740157480314961,-0.03933832867665732,0.25418917085675086
MLP_multi_no_coords,Calyptotis scutirostrum,0.9168526785714286,0.728428093645485,0.1884245849259436,0.21210547859746617
MLP_multi_no_coords,Coeranoscincus reticulatus,0.7856481481481481,0.7355113636363636,0.05013678451178449,0.3223878598892786
MLP_multi_no_coords,Egernia mcpheei,0.9146666666666666,0.755464480874317,0.15920218579234968,0.01568112460181071
MLP_multi_no_coords,Eulamprus murrayi,0.4251968503937008,,,0.4660897169511897
MLP_multi_no_coords,Ophioscincus truncatus,0.8129713423831071,0.8849498327759198,-0.07197849039281268,0.0960001547411769
MLP_multi_no_coords,Pseudechis porphyricaus,0.5653333333333334,0.6825396825396826,-0.1172063492063492,-0.001030349939422569
MLP_multi_no_coords,Saltuarius swaini,0.6692913385826772,,,0.515450926530367
MLP_single_no_coords,Cacophis kreftii,0.655241935483871,0.8267716535433071,-0.17152971805943606,0.4424578364053843
MLP_single_no_coords,Calyptotis scutirostrum,0.9330357142857143,0.7672240802675585,0.1658116340181558,0.13110114931251995
MLP_single_no_coords,Coeranoscincus reticulatus,0.8203703703703704,0.7735795454545454,0.04679082491582498,0.2248107874415201
MLP_single_no_coords,Egernia mcpheei,0.736,0.6939890710382514,0.04201092896174863,-0.01054470936510069
MLP_single_no_coords,Eulamprus murrayi,0.023622047244094488,,,0.43241496557323167
MLP_single_no_coords,Ophioscincus truncatus,0.7688536953242836,0.9083612040133779,-0.13950750868909434,0.082377565537228
MLP_single_no_coords,Pseudechis porphyricaus,0.7253333333333334,0.7777777777777778,-0.052444444444444405,-0.015931315861924318
MLP_single_no_coords,Saltuarius swaini,0.11023622047244094,,,0.5225005553174954
