log_loss,auc,brier,threshold_used,f1_at_0.5,sensitivity_at_0.5,specificity_at_0.5,f1_at_opt,sensitivity_at_opt,specificity_at_opt,species,approach,model
0.35231035149640755,0.9495967741935484,0.12314473267294795,0.8200000000000001,0.24242424242424243,1.0,0.7983870967741935,0.375,0.75,0.9274193548387096,Cacophis kreftii,single,LogisticRegression
0.3936580323431298,0.8703389830508476,0.11743222653132548,0.85,0.4444444444444444,0.8,0.847457627118644,0.5,0.6,0.9322033898305084,Calyptotis scutirostrum,single,LogisticRegression
0.6708047100966235,0.7263017356475301,0.23640278283389543,0.51,0.375,0.7142857142857143,0.5887850467289719,0.38461538461538464,0.7142857142857143,0.6074766355140186,Coeranoscincus reticulatus,single,LogisticRegression
0.426681525036327,0.8531746031746031,0.1335363515088129,0.73,0.07407407407407407,0.5,0.8095238095238095,0.15384615384615385,0.5,0.9206349206349206,Egernia mcpheei,single,LogisticRegression
0.2198650758331038,0.3203125,0.05637212373207107,0.88,0.0,0.0,0.9375,0.0,0.0,0.9765625,Eulamprus murrayi,single,LogisticRegression
0.6370683281681389,0.7494824016563146,0.2171817216039655,0.54,0.4411764705882353,0.6521739130434783,0.7142857142857143,0.4262295081967213,0.5652173913043478,0.7619047619047619,Ophioscincus truncatus,single,LogisticRegression
0.4356955823234222,0.8400000000000001,0.14169808983077833,0.75,0.07142857142857142,0.3333333333333333,0.808,0.0,0.0,0.936,Pseudechis porphyricaus,single,LogisticRegression
0.43069604043446225,0.7559055118110236,0.14683143139680996,0.8300000000000001,0.06451612903225806,0.5,0.7795275590551181,0.0,0.0,0.9133858267716536,Saltuarius swaini,single,LogisticRegression
0.32645773469867234,0.9274193548387097,0.08873749518960335,0.54,0.3076923076923077,0.5,0.9435483870967742,0.4444444444444444,0.5,0.9758064516129032,Cacophis kreftii,multi,LogisticRegression
0.551815870590935,0.8211864406779661,0.18459428826356933,0.66,0.3333333333333333,0.8,0.7457627118644068,0.34782608695652173,0.4,0.923728813559322,Calyptotis scutirostrum,multi,LogisticRegression
1.1135359041316386,0.6644414775255897,0.4180941368720506,0.7000000000000001,0.32558139534883723,1.0,0.18691588785046728,0.3404255319148936,0.7619047619047619,0.4672897196261682,Coeranoscincus reticulatus,multi,LogisticRegression
0.23483343736539775,0.7420634920634921,0.05486612455575736,0.48000000000000004,0.0,0.0,1.0,0.0,0.0,1.0,Egernia mcpheei,multi,LogisticRegression
0.082996991852974,0.8671875,0.012384042259374175,0.08,0.0,0.0,1.0,0.05405405405405406,1.0,0.7265625,Eulamprus murrayi,multi,LogisticRegression
1.2619424192727262,0.6298136645962733,0.471082461990756,0.8200000000000001,0.30344827586206896,0.9565217391304348,0.047619047619047616,0.39436619718309857,0.6086956521739131,0.6761904761904762,Ophioscincus truncatus,multi,LogisticRegression
0.3347661000092956,0.5253333333333333,0.094726179225163,0.23,0.0,0.0,0.928,0.03389830508474576,0.3333333333333333,0.56,Pseudechis porphyricaus,multi,LogisticRegression
0.25147059322220494,0.17322834645669288,0.05986977056565064,0.01,0.0,0.0,1.0,0.030534351145038167,1.0,0.0,Saltuarius swaini,multi,LogisticRegression
0.08553752874659042,0.9596774193548387,0.025338189292176166,0.5700000000000001,0.4444444444444444,0.5,0.9758064516129032,0.4,0.25,1.0,Cacophis kreftii,single,RandomForest
0.20629498734188,0.9033898305084745,0.0600365714891858,0.5700000000000001,0.5454545454545454,0.6,0.9491525423728814,0.5263157894736842,0.5,0.9661016949152542,Calyptotis scutirostrum,single,RandomForest
0.30403923645951714,0.8958611481975969,0.10029913822400743,0.5800000000000001,0.5333333333333333,0.5714285714285714,0.8878504672897196,0.5853658536585366,0.5714285714285714,0.9252336448598131,Coeranoscincus reticulatus,single,RandomForest
0.09136986133880913,0.7857142857142857,0.02024694539278092,0.56,0.0,0.0,0.9920634920634921,0.0,0.0,1.0,Egernia mcpheei,single,RandomForest
0.120387604386205,0.3046875,0.00952671871605853,0.23,0.0,0.0,1.0,0.0,0.0,0.9921875,Eulamprus murrayi,single,RandomForest
0.4079814508119868,0.8049689440993788,0.1340327494199019,0.49,0.5384615384615384,0.6086956521739131,0.8571428571428571,0.5384615384615384,0.6086956521739131,0.8571428571428571,Ophioscincus truncatus,single,RandomForest
0.075193234862595,0.9653333333333333,0.018896771888288387,0.5,0.0,0.0,1.0,0.0,0.0,1.0,Pseudechis porphyricaus,single,RandomForest
0.08649732674487913,0.7047244094488189,0.017610728128820922,0.32,0.0,0.0,1.0,0.0,0.0,1.0,Saltuarius swaini,single,RandomForest
0.10865353188115891,0.9274193548387096,0.029757399930722725,0.5,0.4,0.25,1.0,0.4,0.25,1.0,Cacophis kreftii,multi,RandomForest
0.21467004811012233,0.85,0.060409539171775176,0.56,0.47619047619047616,0.5,0.9491525423728814,0.5,0.5,0.9576271186440678,Calyptotis scutirostrum,multi,RandomForest
0.31552084023177857,0.8967512238540275,0.1042333828232992,0.6900000000000001,0.5490196078431373,0.6666666666666666,0.8504672897196262,0.5,0.42857142857142855,0.9439252336448598,Coeranoscincus reticulatus,multi,RandomForest
0.1166192224092553,0.5833333333333333,0.02495525197542013,0.47000000000000003,0.0,0.0,0.9920634920634921,0.0,0.0,0.9920634920634921,Egernia mcpheei,multi,RandomForest
0.0353634313638752,0.984375,0.007303616859075399,0.29000000000000004,0.0,0.0,1.0,0.0,0.0,1.0,Eulamprus murrayi,multi,RandomForest
0.4333467806037743,0.8082815734989648,0.14186133515270843,0.62,0.52,0.5652173913043478,0.8666666666666667,0.4186046511627907,0.391304347826087,0.8952380952380953,Ophioscincus truncatus,multi,RandomForest
0.0862751234026123,0.912,0.020622979552847684,0.37,0.0,0.0,1.0,0.0,0.0,1.0,Pseudechis porphyricaus,multi,RandomForest
0.10345813284309566,0.36220472440944884,0.017767106929039548,0.32,0.0,0.0,1.0,0.0,0.0,1.0,Saltuarius swaini,multi,RandomForest
0.18093572824794366,0.907258064516129,0.029194705697807244,0.4,0.3333333333333333,0.25,0.9919354838709677,0.2857142857142857,0.25,0.9838709677419355,Cacophis kreftii,single,MLP
0.47987489197172795,0.9220338983050848,0.05844154950581516,0.49,0.5,0.4,0.9830508474576272,0.5,0.4,0.9830508474576272,Calyptotis scutirostrum,single,MLP
0.7294538165122542,0.8785046728971962,0.11763167916212808,0.59,0.6190476190476191,0.6190476190476191,0.9252336448598131,0.6190476190476191,0.6190476190476191,0.9252336448598131,Coeranoscincus reticulatus,single,MLP
0.13822088899169957,0.8174603174603176,0.016361916420910776,0.24000000000000002,0.0,0.0,1.0,0.0,0.0,0.9920634920634921,Egernia mcpheei,single,MLP
0.06659709280430666,0.640625,0.007889680037492974,0.26,0.0,0.0,1.0,0.0,0.0,1.0,Eulamprus murrayi,single,MLP
0.9953591114845967,0.7846790890269151,0.19958083755413175,0.56,0.30434782608695654,0.30434782608695654,0.8476190476190476,0.3111111111111111,0.30434782608695654,0.8571428571428571,Ophioscincus truncatus,single,MLP
0.1951421644784581,0.7813333333333333,0.02775168659353623,0.21000000000000002,0.0,0.0,0.992,0.0,0.0,0.992,Pseudechis porphyricaus,single,MLP
0.22328442951135294,0.43700787401574803,0.018208619050043666,0.3,0.0,0.0,1.0,0.0,0.0,0.984251968503937,Saltuarius swaini,single,MLP
0.20864486760282802,0.8588709677419355,0.04145627336498582,0.23,0.25,0.25,0.9758064516129032,0.18181818181818182,0.25,0.9516129032258065,Cacophis kreftii,multi,MLP
0.4712687286140903,0.8516949152542372,0.06906711027852724,0.33,0.42105263157894735,0.4,0.9576271186440678,0.5,0.6,0.9322033898305084,Calyptotis scutirostrum,multi,MLP
0.3368867544972535,0.8936359590565197,0.09415861759574377,0.46,0.6363636363636364,0.6666666666666666,0.9158878504672897,0.6086956521739131,0.6666666666666666,0.897196261682243,Coeranoscincus reticulatus,multi,MLP
0.1392615010900239,0.7063492063492063,0.020305178454578465,0.37,0.0,0.0,0.9920634920634921,0.0,0.0,0.9841269841269841,Egernia mcpheei,multi,MLP
0.10812170635479451,0.3671875,0.007861128492940067,0.21000000000000002,0.0,0.0,1.0,0.0,0.0,1.0,Eulamprus murrayi,multi,MLP
0.5628260782208727,0.7925465838509317,0.17214644012298042,0.28,0.391304347826087,0.391304347826087,0.8666666666666667,0.3793103448275862,0.4782608695652174,0.7714285714285715,Ophioscincus truncatus,multi,MLP
0.10932823451554818,0.8906666666666667,0.02501387841093959,0.14,0.0,0.0,0.992,0.0,0.0,0.992,Pseudechis porphyricaus,multi,MLP
0.20087663249916393,0.4094488188976378,0.025643014603130124,0.16,0.0,0.0,0.9921259842519685,0.0,0.0,0.9448818897637795,Saltuarius swaini,multi,MLP
0.11109180222768156,0.9556451612903226,0.03148510307073593,0.32,0.2857142857142857,0.25,0.9838709677419355,0.5,0.5,0.9838709677419355,Cacophis kreftii,single,XGBoost
0.30507668497864804,0.8211864406779662,0.07194606214761734,0.63,0.5217391304347826,0.6,0.940677966101695,0.5217391304347826,0.6,0.940677966101695,Calyptotis scutirostrum,single,XGBoost
0.3587655042790775,0.8740542946150422,0.11379685252904892,0.66,0.5116279069767442,0.5238095238095238,0.897196261682243,0.5365853658536586,0.5238095238095238,0.9158878504672897,Coeranoscincus reticulatus,single,XGBoost
0.1085169832548902,0.7182539682539683,0.022815415635704994,0.37,0.0,0.0,0.9920634920634921,0.0,0.0,0.9920634920634921,Egernia mcpheei,single,XGBoost
0.06589039590816424,0.28515625,0.010265408083796501,0.27,0.0,0.0,0.9921875,0.0,0.0,0.9921875,Eulamprus murrayi,single,XGBoost
0.5102860458406604,0.8095238095238095,0.16257569193840027,0.7100000000000001,0.43636363636363634,0.5217391304347826,0.8095238095238095,0.43478260869565216,0.43478260869565216,0.8761904761904762,Ophioscincus truncatus,single,XGBoost
0.058086641802217676,0.9813333333333333,0.017574727535247803,0.61,0.0,0.0,1.0,0.0,0.0,1.0,Pseudechis porphyricaus,single,XGBoost
0.08861595881979457,0.8267716535433071,0.01699875108897686,0.24000000000000002,0.0,0.0,1.0,0.0,0.0,0.984251968503937,Saltuarius swaini,single,XGBoost
0.1473715102491665,0.9495967741935483,0.044892214238643646,0.77,0.3076923076923077,0.5,0.9435483870967742,0.0,0.0,0.9838709677419355,Cacophis kreftii,multi,XGBoost
0.3441272468519362,0.8033898305084747,0.10954457521438599,0.81,0.375,0.6,0.864406779661017,0.47619047619047616,0.5,0.9491525423728814,Calyptotis scutirostrum,multi,XGBoost
0.5666251501177302,0.8780596350689809,0.18296277523040771,0.88,0.5671641791044776,0.9047619047619048,0.7476635514018691,0.6122448979591837,0.7142857142857143,0.8785046728971962,Coeranoscincus reticulatus,multi,XGBoost
0.17065492292248147,0.5198412698412699,0.04329351335763931,0.5800000000000001,0.0,0.0,0.9682539682539683,0.0,0.0,0.9761904761904762,Egernia mcpheei,multi,XGBoost
0.039452294992299505,0.96875,0.007827135734260082,0.37,0.0,0.0,1.0,0.0,0.0,1.0,Eulamprus murrayi,multi,XGBoost
0.8296535042633448,0.7130434782608696,0.28450554609298706,0.79,0.4,0.782608695652174,0.5333333333333333,0.3508771929824561,0.43478260869565216,0.7714285714285715,Ophioscincus truncatus,multi,XGBoost
0.1335973725745211,0.7973333333333333,0.03093852661550045,0.61,0.0,0.0,1.0,0.0,0.0,1.0,Pseudechis porphyricaus,multi,XGBoost
0.12675490776597043,0.3464566929133859,0.02300528809428215,0.62,0.0,0.0,1.0,0.0,0.0,1.0,Saltuarius swaini,multi,XGBoost
0.09434984297906598,0.9133064516129032,0.0293233662374991,0.24000000000000002,0.0,0.0,1.0,0.0,0.0,0.967741935483871,Cacophis kreftii,single,GAM
0.25892781404801474,0.875,0.0492566863012346,0.28,0.5555555555555556,0.5,0.9745762711864406,0.5833333333333334,0.7,0.940677966101695,Calyptotis scutirostrum,single,GAM
0.29700353641259086,0.8847352024922118,0.09830668113697875,0.36000000000000004,0.47619047619047616,0.47619047619047616,0.897196261682243,0.6037735849056604,0.7619047619047619,0.8504672897196262,Coeranoscincus reticulatus,single,GAM
0.07214456722706732,0.8531746031746031,0.016075152877559895,0.17,0.0,0.0,1.0,0.0,0.0,0.9920634920634921,Egernia mcpheei,single,GAM
0.11848915781272337,0.171875,0.01124795833913286,0.14,0.0,0.0,0.9921875,0.0,0.0,0.984375,Eulamprus murrayi,single,GAM
0.4093051984433529,0.7631469979296066,0.13049412728044307,0.36000000000000004,0.2857142857142857,0.21739130434782608,0.9333333333333333,0.391304347826087,0.391304347826087,0.8666666666666667,Ophioscincus truncatus,single,GAM
0.08356967395909193,0.9226666666666666,0.021267214669515904,0.16,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.984,Pseudechis porphyricaus,single,GAM
0.08663111782344433,0.7362204724409448,0.01599171478635689,0.05,0.0,0.0,1.0,0.0,0.0,0.952755905511811,Saltuarius swaini,single,GAM
0.11287663388543417,0.8528225806451613,0.028080213790983924,0.12,0.0,0.0,1.0,0.2857142857142857,0.25,0.9838709677419355,Cacophis kreftii,multi,GAM
0.2352758049067922,0.771186440677966,0.06554913137788373,0.21000000000000002,0.0,0.0,1.0,0.37037037037037035,0.5,0.8983050847457628,Calyptotis scutirostrum,multi,GAM
0.38292695352167055,0.7774810858923009,0.12450414713912697,0.18000000000000002,0.07407407407407407,0.047619047619047616,0.9532710280373832,0.4358974358974359,0.8095238095238095,0.6261682242990654,Coeranoscincus reticulatus,multi,GAM
0.09389299902083537,0.48412698412698413,0.015870387181003354,0.06999999999999999,0.0,0.0,1.0,0.0,0.0,0.9365079365079365,Egernia mcpheei,multi,GAM
0.0371664033664082,0.921875,0.0075524545447755624,0.01,0.0,0.0,1.0,0.07407407407407407,1.0,0.8046875,Eulamprus murrayi,multi,GAM
0.4429171212075104,0.682815734989648,0.1350717013833074,0.21000000000000002,0.3333333333333333,0.21739130434782608,0.9809523809523809,0.3283582089552239,0.4782608695652174,0.6857142857142857,Ophioscincus truncatus,multi,GAM
0.10798946002451547,0.7226666666666667,0.023244076612020298,0.01,0.0,0.0,1.0,0.08571428571428572,1.0,0.488,Pseudechis porphyricaus,multi,GAM
0.13452212815173034,0.047244094488189003,0.01608148717706517,0.01,0.0,0.0,1.0,0.0,0.0,0.5590551181102362,Saltuarius swaini,multi,GAM
