model,overall_log_loss_single_tuned,overall_log_loss_multi_tuned,multi_wins_after_tuning
LogisticRegression,0.588262537595052,0.6314836783667926,False
RandomForest,0.18315064524670951,0.293200600695841,False
MLP,0.2511553147417463,0.23253453700116655,True
XGBoost,0.15626230535745994,0.16058790659713118,False
GAM,0.23040023488202008,0.22724051700623235,True
