model,overall_log_loss_single,overall_log_loss_multi,overall_log_loss_multi_interactions,best_overall
LogisticRegression,0.4456124325242829,0.5190402593874145,0.4530676882414628,single
RandomForest,0.17202869635454807,0.17652917324800493,0.1737129242601064,single
MLP,0.3756578960961161,0.2669322171280307,0.21728206998085675,multi_int
XGBoost,0.20055043747168746,0.29436698991145405,0.2668546417725768,single
GAM,0.1774064294248744,0.19323618816216853,0.1841443031146109,single
