species,n_train,n_test,prevalence_train,log_loss_single,auc_single,log_loss_multi,auc_multi,log_loss_multi_int,auc_multi_int,best_approach
Cacophis kreftii,513,128,0.031189083820662766,0.08553752874659043,0.9596774193548387,0.10865353188115891,0.9274193548387096,0.09556322404498807,0.9475806451612904,single
Calyptotis scutirostrum,513,128,0.07797270955165692,0.20629498734188,0.9033898305084745,0.21467004811012233,0.85,0.21297045360505423,0.8983050847457628,single
Coeranoscincus reticulatus,513,128,0.1617933723196881,0.30403923645951714,0.8958611481975969,0.3155208402317786,0.8967512238540275,0.3288606312510636,0.897196261682243,single
Egernia mcpheei,513,128,0.01949317738791423,0.09136986133880913,0.7857142857142857,0.1166192224092553,0.5833333333333333,0.09329672865098454,0.7420634920634921,single
Eulamprus murrayi,512,129,0.00390625,0.120387604386205,0.3046875,0.0353634313638752,0.984375,0.04797498714764187,0.7734375,multi
Ophioscincus truncatus,513,128,0.17738791423001948,0.40798145081198683,0.8049689440993788,0.4333467806037743,0.8082815734989648,0.44500818055749497,0.8082815734989648,single
Pseudechis porphyricaus,513,128,0.021442495126705652,0.07519323486259498,0.9653333333333333,0.0862751234026123,0.912,0.0825397897322993,0.8906666666666666,single
Saltuarius swaini,512,129,0.01171875,0.08649732674487913,0.7047244094488189,0.10345813284309566,0.36220472440944884,0.08516351895397002,0.6456692913385826,multi_int
