model,split_type,use_coords,species,candidate,fold,model__colsample_bytree,model__learning_rate,model__max_depth,model__n_estimators,model__subsample,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,6,2,0.8,0.03,5,100,1.0,103,4,0.09174914463047018,0.9621212121212122,0.5492424242424242,0.028332716670870253,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,6,3,0.8,0.03,5,100,1.0,102,4,0.1574385440303963,0.8622448979591837,0.17258986928104575,0.040194310955110675,0.0,0.0,0.9897959183673469
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,6,4,0.8,0.03,5,100,1.0,103,4,0.10130594190299518,0.9444444444444444,0.2992424242424242,0.03188449599965933,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,6,5,0.8,0.03,5,100,1.0,102,2,0.081649364642337,0.92,0.3088235294117647,0.022386342736060733,0.0,0.0,0.99
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,7,1,0.8,0.03,5,300,0.8,103,5,0.16574750419362275,0.9183673469387755,0.4313570487483531,0.041772039026605125,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,7,2,0.8,0.03,5,300,0.8,103,4,0.10615280854535492,0.9393939393939393,0.4635854341736695,0.02927425436747008,0.4,0.25,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,7,3,0.8,0.03,5,300,0.8,102,4,0.1537708862461029,0.885204081632653,0.234593837535014,0.03750873392649756,0.0,0.0,0.9897959183673469
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,7,4,0.8,0.03,5,300,0.8,103,4,0.10297661310277742,0.9419191919191919,0.28809523809523807,0.033499061182728086,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,7,5,0.8,0.03,5,300,0.8,102,2,0.0820256980606579,0.93,0.31666666666666665,0.023724979061179666,0.0,0.0,0.99
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,8,1,0.8,0.03,5,300,1.0,103,5,0.16541179989483,0.9224489795918368,0.35878787878787877,0.0414143015607456,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,8,2,0.8,0.03,5,300,1.0,103,4,0.10203557994048737,0.9494949494949495,0.5208333333333333,0.03090499841806052,0.3333333333333333,0.25,0.98989898989899
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,8,3,0.8,0.03,5,300,1.0,102,4,0.17628460158890202,0.8392857142857142,0.17022357723577233,0.04288028507763427,0.0,0.0,0.9795918367346939
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,8,4,0.8,0.03,5,300,1.0,103,4,0.10113980263638724,0.9469696969696969,0.32543498168498164,0.03270674385727985,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,8,5,0.8,0.03,5,300,1.0,102,2,0.08746057785740728,0.935,0.3214285714285714,0.02460543847841269,0.5,0.5,0.99
