model,split_type,use_coords,species,candidate,fold,model__colsample_bytree,model__learning_rate,model__max_depth,model__n_estimators,model__subsample,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,6,3,0.8,0.03,5,100,1.0,102,4,0.16456252409182565,0.7372448979591837,0.15123862044817926,0.03925995260779025,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,6,4,0.8,0.03,5,100,1.0,103,4,0.12912588737181116,0.893939393939394,0.24166666666666667,0.036326979635389035,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,6,5,0.8,0.03,5,100,1.0,102,2,0.0687774645770503,0.965,0.29166666666666663,0.01647806109758118,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,7,1,0.8,0.03,5,300,0.8,103,5,0.16239040325059576,0.869387755102041,0.3232142857142857,0.04171370347704397,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,7,2,0.8,0.03,5,300,0.8,103,4,0.1276972079411317,0.8762626262626263,0.373956442831216,0.0317637614551787,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,7,3,0.8,0.03,5,300,0.8,102,4,0.17969152722764725,0.7193877551020409,0.1273231079265562,0.04054177707337315,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,7,4,0.8,0.03,5,300,0.8,103,4,0.15214862570985302,0.9040404040404041,0.22294372294372292,0.04706522298254115,0.0,0.0,0.9696969696969697
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,7,5,0.8,0.03,5,300,0.8,102,2,0.06888686401847369,0.94,0.19642857142857142,0.020011398584780255,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,8,1,0.8,0.03,5,300,1.0,103,5,0.17673352617758997,0.8755102040816326,0.2866666666666667,0.04541618272283679,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,8,2,0.8,0.03,5,300,1.0,103,4,0.13096782720919836,0.898989898989899,0.3892857142857143,0.033420082978613555,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,8,3,0.8,0.03,5,300,1.0,102,4,0.18332129959478075,0.7270408163265305,0.1402092352092352,0.04121411470420904,0.0,0.0,0.9897959183673469
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,8,4,0.8,0.03,5,300,1.0,103,4,0.1492794814248765,0.9166666666666666,0.2317982456140351,0.04761332223864694,0.0,0.0,0.9696969696969697
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,8,5,0.8,0.03,5,300,1.0,102,2,0.06984793017739697,0.95,0.2361111111111111,0.0200681822156307,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,9,1,0.8,0.1,3,100,0.8,103,5,0.17011719297104055,0.8530612244897959,0.391991341991342,0.041971016134195946,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,9,2,0.8,0.1,3,100,0.8,103,4,0.12520159247968227,0.8686868686868687,0.3652597402597403,0.03127705704251376,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,9,3,0.8,0.1,3,100,0.8,102,4,0.18191207873547785,0.6862244897959184,0.1255050505050505,0.039376950936786295,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,9,4,0.8,0.1,3,100,0.8,103,4,0.16483765807678594,0.8964646464646465,0.21068376068376068,0.05090948874604499,0.0,0.0,0.9696969696969697
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,9,5,0.8,0.1,3,100,0.8,102,2,0.06969278509559529,0.945,0.20833333333333331,0.020524569653286508,0.0,0.0,0.99
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,10,1,0.8,0.1,3,100,1.0,103,5,0.17163300123849604,0.8612244897959184,0.31000000000000005,0.044033962565207405,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,10,2,0.8,0.1,3,100,1.0,103,4,0.13221744175513217,0.8863636363636364,0.40608465608465605,0.032039110728446014,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,10,3,0.8,0.1,3,100,1.0,102,4,0.18609085598705505,0.6811224489795918,0.1348011363636364,0.04023479788948125,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,10,4,0.8,0.1,3,100,1.0,103,4,0.1525714302517883,0.9141414141414141,0.22916666666666666,0.04823098250639332,0.0,0.0,0.9696969696969697
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,10,5,0.8,0.1,3,100,1.0,102,2,0.07188488064209198,0.95,0.225,0.02188714094307585,0.0,0.0,0.98
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,11,1,0.8,0.1,3,300,0.8,103,5,0.19909241335188246,0.826530612244898,0.38876972489875716,0.04236753451297548,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,11,2,0.8,0.1,3,300,0.8,103,4,0.15471194445295486,0.8358585858585859,0.3591608686485347,0.03226529213833094,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,11,3,0.8,0.1,3,300,0.8,102,4,0.2069250225757446,0.6887755102040816,0.12954819277108434,0.040422864755231144,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,11,4,0.8,0.1,3,300,0.8,103,4,0.18437937904306737,0.8661616161616161,0.17397186147186147,0.05176024327228131,0.0,0.0,0.9696969696969697
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,11,5,0.8,0.1,3,300,0.8,102,2,0.07927384345554632,0.94,0.19444444444444442,0.02542730596475552,0.0,0.0,0.98
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,12,1,0.8,0.1,3,300,1.0,103,5,0.19973563867759,0.8551020408163266,0.26796536796536796,0.04450360086725258,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,12,2,0.8,0.1,3,300,1.0,103,4,0.16905917706146295,0.8055555555555556,0.35082582582582583,0.03188054750760553,0.4,0.25,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,12,3,0.8,0.1,3,300,1.0,102,4,0.2189986929702453,0.6683673469387755,0.12811907193929667,0.041747460669072534,0.0,0.0,0.9897959183673469
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,12,4,0.8,0.1,3,300,1.0,103,4,0.1802149264130996,0.9040404040404041,0.21085858585858583,0.05335280445971576,0.0,0.0,0.9696969696969697
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,12,5,0.8,0.1,3,300,1.0,102,2,0.0739763585529127,0.9400000000000001,0.2,0.022672579340825186,0.0,0.0,0.99
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,13,1,0.8,0.1,5,100,0.8,103,5,0.17680663188800114,0.8530612244897959,0.26220125786163523,0.04391347897010978,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,13,2,0.8,0.1,5,100,0.8,103,4,0.13263124648653443,0.8535353535353536,0.35795454545454547,0.03188220282872353,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,13,3,0.8,0.1,5,100,0.8,102,4,0.184414292169156,0.7066326530612245,0.1161383572567783,0.04042523547687828,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,13,4,0.8,0.1,5,100,0.8,103,4,0.16803032697692175,0.9015151515151515,0.23346560846560843,0.05151853288569707,0.0,0.0,0.9696969696969697
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,13,5,0.8,0.1,5,100,0.8,102,2,0.07011432312174327,0.9450000000000001,0.2111111111111111,0.0211762445286433,0.0,0.0,0.99
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,14,1,0.8,0.1,5,100,1.0,103,5,0.18551051707164898,0.853061224489796,0.2605839550520402,0.04536219166053556,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,14,2,0.8,0.1,5,100,1.0,103,4,0.13512037735950708,0.8939393939393939,0.38851010101010097,0.03325322265595755,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,14,3,0.8,0.1,5,100,1.0,102,4,0.18701899578184863,0.7295918367346939,0.15206069910250353,0.042042068028072664,0.0,0.0,0.9897959183673469
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,14,4,0.8,0.1,5,100,1.0,103,4,0.1613371076300201,0.9116161616161615,0.2222222222222222,0.050245594583706366,0.0,0.0,0.9696969696969697
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,14,5,0.8,0.1,5,100,1.0,102,2,0.07378296554879007,0.9500000000000001,0.2361111111111111,0.02206222908506551,0.0,0.0,0.99
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,15,1,0.8,0.1,5,300,0.8,103,5,0.19923132602168653,0.8306122448979593,0.29121212121212126,0.043089566356922196,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,15,2,0.8,0.1,5,300,0.8,103,4,0.15794867597172052,0.8181818181818181,0.34904306220095693,0.03184372602663809,0.4,0.25,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,15,3,0.8,0.1,5,300,0.8,102,4,0.20541462944848962,0.7244897959183674,0.12245225485475847,0.04170997354196701,0.0,0.0,0.9897959183673469
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,15,4,0.8,0.1,5,300,0.8,103,4,0.1857074211681659,0.8686868686868686,0.1884199134199134,0.05216278160154008,0.0,0.0,0.9696969696969697
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,15,5,0.8,0.1,5,300,0.8,102,2,0.07750204784053774,0.95,0.2361111111111111,0.0242569211168021,0.0,0.0,0.99
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,16,1,0.8,0.1,5,300,1.0,103,5,0.20792667170767246,0.8367346938775511,0.22536550406115624,0.04524245657778178,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,16,2,0.8,0.1,5,300,1.0,103,4,0.17326243797962929,0.8106060606060607,0.34010416666666665,0.03403365581859966,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,16,3,0.8,0.1,5,300,1.0,102,4,0.21853116046651766,0.6887755102040816,0.13438375350140055,0.04388255666716639,0.0,0.0,0.9897959183673469
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,16,4,0.8,0.1,5,300,1.0,103,4,0.1839850721433163,0.9040404040404041,0.2232142857142857,0.05340498868838273,0.0,0.0,0.9696969696969697
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,16,5,0.8,0.1,5,300,1.0,102,2,0.07503542976160203,0.9450000000000001,0.25757575757575757,0.022406106310595846,0.0,0.0,0.98
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,17,1,1.0,0.03,3,100,0.8,103,5,0.15364637616813567,0.8979591836734694,0.3473076923076923,0.04246992515018593,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,17,2,1.0,0.03,3,100,0.8,103,4,0.1224668221369339,0.9116161616161615,0.4035714285714286,0.033356952020372116,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,17,3,1.0,0.03,3,100,0.8,102,4,0.1586923436509626,0.7270408163265307,0.1278099528099528,0.037870279808758144,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,17,4,1.0,0.03,3,100,0.8,103,4,0.13657192337243987,0.8737373737373738,0.17804621848739496,0.03723164088272916,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,17,5,1.0,0.03,3,100,0.8,102,2,0.07248765072180006,0.95,0.22619047619047616,0.017144282747356666,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,18,1,1.0,0.03,3,100,1.0,103,5,0.15781946617703954,0.9040816326530612,0.2595238095238095,0.04386648282205319,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,18,2,1.0,0.03,3,100,1.0,103,4,0.12347958495753517,0.904040404040404,0.3941176470588235,0.03375203428369619,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,18,3,1.0,0.03,3,100,1.0,102,4,0.1569964109692485,0.7142857142857143,0.1442901234567901,0.037452179684519124,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,18,4,1.0,0.03,3,100,1.0,103,4,0.13501310440921746,0.8712121212121212,0.20357142857142857,0.036680245108295075,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,18,5,1.0,0.03,3,100,1.0,102,2,0.07589548619727354,0.965,0.29166666666666663,0.018120659729087763,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,19,1,1.0,0.03,3,300,0.8,103,5,0.1685570942656095,0.8591836734693878,0.31748405103668265,0.04281317635638213,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,19,2,1.0,0.03,3,300,0.8,103,4,0.12624388854766655,0.8762626262626262,0.375,0.03161446293266446,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,19,3,1.0,0.03,3,300,0.8,102,4,0.1849632234480729,0.6938775510204082,0.12687317251461988,0.040804355975241284,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,19,4,1.0,0.03,3,300,0.8,103,4,0.15661141390916197,0.898989898989899,0.20332674571805007,0.048406959593395804,0.0,0.0,0.9696969696969697
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,19,5,1.0,0.03,3,300,0.8,102,2,0.07562517023090495,0.94,0.19642857142857142,0.02260951930916399,0.0,0.0,0.99
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,20,1,1.0,0.03,3,300,1.0,103,5,0.1622646490141299,0.9,0.3304385964912281,0.042856729090215324,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,20,2,1.0,0.03,3,300,1.0,103,4,0.12768682462835987,0.9015151515151515,0.4063568010936432,0.03242956478866988,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,20,3,1.0,0.03,3,300,1.0,102,4,0.1832712952894258,0.7040816326530612,0.1650262780697563,0.041646602892490524,0.0,0.0,0.9897959183673469
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,20,4,1.0,0.03,3,300,1.0,103,4,0.15239017890147982,0.898989898989899,0.23214285714285712,0.0478385795893967,0.0,0.0,0.9696969696969697
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,20,5,1.0,0.03,3,300,1.0,102,2,0.07132490560403049,0.95,0.225,0.020561380433891017,0.0,0.0,0.99
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,21,1,1.0,0.03,5,100,0.8,103,5,0.1554444584882921,0.9061224489795918,0.3496031746031746,0.042837122602967535,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,21,2,1.0,0.03,5,100,0.8,103,4,0.12305446889875772,0.9065656565656566,0.399025974025974,0.03340472558539801,0.0,0.0,1.0
