model,split_type,use_coords,species,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
XGBoost_single_no_coords,random,False,Cacophis kreftii,128,4,0.13429779704706868,0.7217741935483871,0.13205217796412766,0.02997642779437519,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Calyptotis scutirostrum,128,16,0.26010212630438434,0.8895089285714285,0.5859501467934353,0.07927830979403992,0.34782608695652173,0.25,0.9732142857142857
XGBoost_single_no_coords,random,False,Coeranoscincus reticulatus,128,20,0.3548643294583981,0.8,0.41034778662335625,0.111396660710687,0.2857142857142857,0.2,0.9629629629629629
XGBoost_single_no_coords,random,False,Egernia mcpheei,128,3,0.08186601851639264,0.9146666666666666,0.4244306418219461,0.020355756967481844,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Eulamprus murrayi,128,1,0.0470765968372045,0.5,0.0078125,0.007765707574289886,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Ophioscincus truncatus,128,26,0.41508149036665687,0.7839366515837105,0.527638513978253,0.1328098070562253,0.30303030303030304,0.19230769230769232,0.9803921568627451
XGBoost_single_no_coords,random,False,Pseudechis porphyricaus,128,3,0.15462735012798207,0.476,0.033479960899315736,0.02728237571397951,0.0,0.0,0.992
XGBoost_single_no_coords,random,False,Saltuarius swaini,128,1,0.051803567797715305,0.31496062992125984,0.011363636363636364,0.00796193050612194,0.0,0.0,1.0
