model,split_type,use_coords,species,model__colsample_bytree,model__learning_rate,model__max_depth,model__n_estimators,model__subsample,mean_cv_log_loss,std_cv_log_loss
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,0.8,0.03,3,100,1.0,0.1208278742664656,0.020699012035143877
XGBoost_single_with_coords,spatial,True,Calyptotis scutirostrum,0.8,0.03,5,100,0.8,0.14257106168014094,0.012849681538884028
XGBoost_single_with_coords,spatial,True,Coeranoscincus reticulatus,0.8,0.03,5,100,0.8,0.23502978019843068,0.028275340402319046
XGBoost_single_with_coords,spatial,True,Egernia mcpheei,0.8,0.03,3,300,0.8,0.053707134894305654,0.02283243119101975
XGBoost_single_with_coords,spatial,True,Eulamprus murrayi,1.0,0.1,3,300,1.0,0.036722547035951236,0.024255091343938676
XGBoost_single_with_coords,spatial,True,Ophioscincus truncatus,0.8,0.03,3,100,1.0,0.4042692803783325,0.037067880320561825
XGBoost_single_with_coords,spatial,True,Pseudechis porphyricaus,0.8,0.03,3,100,1.0,0.09038053539996133,0.02241033164195762
XGBoost_single_with_coords,spatial,True,Saltuarius swaini,1.0,0.03,5,100,1.0,0.07862531907372743,0.013521057319499315
