model,split_type,use_coords,species,candidate,fold,model__class_weight,model__max_depth,model__max_features,model__min_samples_leaf,model__n_estimators,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
RF_single_no_coords,random,False,Cacophis kreftii,1,1,balanced,,sqrt,1,300,103,3,0.11965389285995909,0.8066666666666666,0.4825396825396825,0.02659449838226538,0.3333333333333333,0.3333333333333333,0.98
RF_single_no_coords,random,False,Cacophis kreftii,1,2,balanced,,sqrt,1,300,103,3,0.1343170661955028,0.9116666666666667,0.17866161616161616,0.04366030204994284,0.0,0.0,0.97
RF_single_no_coords,random,False,Cacophis kreftii,1,3,balanced,,sqrt,1,300,102,3,0.28997738204146095,0.5117845117845118,0.04090105643934722,0.05103276906354357,0.0,0.0,0.9696969696969697
RF_single_no_coords,random,False,Cacophis kreftii,1,4,balanced,,sqrt,1,300,103,4,0.14879739223915084,0.8244949494949495,0.11963877084014383,0.044430744336860846,0.0,0.0,1.0
RF_single_no_coords,random,False,Cacophis kreftii,1,5,balanced,,sqrt,1,300,102,3,0.10390446443703821,0.8973063973063973,0.3122605363984674,0.028357516340202622,0.0,0.0,0.98989898989899
RF_single_no_coords,random,False,Cacophis kreftii,2,1,balanced,,sqrt,1,500,103,3,0.1240384123846437,0.78,0.4805555555555555,0.026321553398359232,0.3333333333333333,0.3333333333333333,0.98
RF_single_no_coords,random,False,Cacophis kreftii,2,2,balanced,,sqrt,1,500,103,3,0.13405076688797168,0.9133333333333333,0.1847222222222222,0.043326524272087365,0.0,0.0,0.97
RF_single_no_coords,random,False,Cacophis kreftii,2,3,balanced,,sqrt,1,500,102,3,0.2950102465222213,0.48989898989898983,0.04090601757944557,0.05125366666699021,0.0,0.0,0.9696969696969697
RF_single_no_coords,random,False,Cacophis kreftii,2,4,balanced,,sqrt,1,500,103,4,0.15110370292847544,0.8207070707070707,0.11846153846153847,0.045084582524524255,0.0,0.0,1.0
RF_single_no_coords,random,False,Cacophis kreftii,2,5,balanced,,sqrt,1,500,102,3,0.10517913375990227,0.8956228956228955,0.33333333333333337,0.028467098039529414,0.0,0.0,0.98989898989899
RF_single_no_coords,random,False,Cacophis kreftii,3,1,balanced,,sqrt,5,300,103,3,0.17532155274050426,0.8533333333333334,0.4111111111111111,0.0464800694234001,0.4444444444444444,0.6666666666666666,0.96
RF_single_no_coords,random,False,Cacophis kreftii,3,2,balanced,,sqrt,5,300,103,3,0.21310368296694432,0.93,0.21428571428571427,0.06339691415487396,0.36363636363636365,0.6666666666666666,0.94
RF_single_no_coords,random,False,Cacophis kreftii,3,3,balanced,,sqrt,5,300,102,3,0.42102242890155894,0.41077441077441074,0.03593334769805358,0.09903986356197686,0.0,0.0,0.898989898989899
RF_single_no_coords,random,False,Cacophis kreftii,3,4,balanced,,sqrt,5,300,103,4,0.2533881560209462,0.8964646464646465,0.18834586466165415,0.0821575591534915,0.3,0.75,0.8686868686868687
RF_single_no_coords,random,False,Cacophis kreftii,3,5,balanced,,sqrt,5,300,102,3,0.18654550321905594,0.8922558922558922,0.25114942528735634,0.05131604928200593,0.36363636363636365,0.6666666666666666,0.9393939393939394
RF_single_no_coords,random,False,Cacophis kreftii,4,1,balanced,,sqrt,5,500,103,3,0.17578473027673552,0.8566666666666667,0.4116161616161616,0.04672927659449118,0.4444444444444444,0.6666666666666666,0.96
RF_single_no_coords,random,False,Cacophis kreftii,4,2,balanced,,sqrt,5,500,103,3,0.21458140851037685,0.93,0.2142857142857143,0.0637424517316972,0.36363636363636365,0.6666666666666666,0.94
RF_single_no_coords,random,False,Cacophis kreftii,4,3,balanced,,sqrt,5,500,102,3,0.3486263017522894,0.4343434343434343,0.037444037444037445,0.09826465369706838,0.0,0.0,0.898989898989899
RF_single_no_coords,random,False,Cacophis kreftii,4,4,balanced,,sqrt,5,500,103,4,0.24905363677339243,0.8939393939393939,0.18368055555555557,0.08087947044571883,0.2857142857142857,0.75,0.8585858585858586
RF_single_no_coords,random,False,Cacophis kreftii,4,5,balanced,,sqrt,5,500,102,3,0.18691395858195356,0.8922558922558923,0.25114942528735634,0.051547596722879875,0.36363636363636365,0.6666666666666666,0.9393939393939394
RF_single_no_coords,random,False,Cacophis kreftii,5,1,balanced,20.0,sqrt,1,300,103,3,0.11965389285995909,0.8066666666666666,0.4825396825396825,0.02659449838226538,0.3333333333333333,0.3333333333333333,0.98
RF_single_no_coords,random,False,Cacophis kreftii,5,2,balanced,20.0,sqrt,1,300,103,3,0.1343170661955028,0.9116666666666667,0.17866161616161616,0.04366030204994284,0.0,0.0,0.97
RF_single_no_coords,random,False,Cacophis kreftii,5,3,balanced,20.0,sqrt,1,300,102,3,0.28997738204146095,0.5117845117845118,0.04090105643934722,0.05103276906354357,0.0,0.0,0.9696969696969697
RF_single_no_coords,random,False,Cacophis kreftii,5,4,balanced,20.0,sqrt,1,300,103,4,0.14879739223915084,0.8244949494949495,0.11963877084014383,0.044430744336860846,0.0,0.0,1.0
RF_single_no_coords,random,False,Cacophis kreftii,5,5,balanced,20.0,sqrt,1,300,102,3,0.10390446443703821,0.8973063973063973,0.3122605363984674,0.028357516340202622,0.0,0.0,0.98989898989899
