model,split_type,use_coords,candidate,fold,classifier__C,classifier__class_weight,features__n_knots,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
GAM_multi_no_coords,random,False,1,1,0.1,,4,824,52,0.19069657379849536,0.8411717815862894,0.29698565482071676,0.05227283071003794,0.0,0.0,1.0
GAM_multi_no_coords,random,False,1,2,0.1,,4,824,52,0.1890042929050719,0.8568403746512555,0.2918611373017287,0.05233501962041271,0.0,0.0,1.0
GAM_multi_no_coords,random,False,1,3,0.1,,4,824,50,0.1873599387851506,0.8295090439276486,0.28345233255564695,0.05052651474774717,0.0,0.0,1.0
GAM_multi_no_coords,random,False,1,4,0.1,,4,816,49,0.1856963531817042,0.8392491285953756,0.23759099776633744,0.050724155515688034,0.0,0.0,1.0
GAM_multi_no_coords,random,False,1,5,0.1,,4,816,48,0.18539114107794197,0.8370225694444444,0.19901046124109203,0.05053467194804591,0.0,0.0,1.0
GAM_multi_no_coords,random,False,2,1,0.1,,6,824,52,0.1880023382103347,0.8469260661618174,0.2872486058369583,0.051667192539731156,0.0,0.0,1.0
GAM_multi_no_coords,random,False,2,2,0.1,,6,824,52,0.18815411376564842,0.8525308888003188,0.30101315289340624,0.0520427664628556,0.0,0.0,1.0
GAM_multi_no_coords,random,False,2,3,0.1,,6,824,50,0.18379903336219544,0.840981912144703,0.31851702020389816,0.0496927454061549,0.0,0.0,1.0
GAM_multi_no_coords,random,False,2,4,0.1,,6,816,49,0.1814661643551941,0.8516350477609558,0.29272986951707647,0.04967847296636749,0.0,0.0,1.0
GAM_multi_no_coords,random,False,2,5,0.1,,6,816,48,0.18174740174271453,0.850830078125,0.2233794433901107,0.04988401692765241,0.0,0.0,1.0
GAM_multi_no_coords,random,False,3,1,0.1,,8,824,52,0.1881933924978819,0.845132522917497,0.2860486847540303,0.051699272151268204,0.0,0.0,1.0
GAM_multi_no_coords,random,False,3,2,0.1,,8,824,52,0.18849108679334992,0.8500896771622161,0.3017090611061685,0.05208785345895009,0.0,0.0,1.0
GAM_multi_no_coords,random,False,3,3,0.1,,8,824,50,0.18307172167740604,0.8424547803617571,0.32852381058788993,0.04949846507750661,0.0,0.0,1.0
GAM_multi_no_coords,random,False,3,4,0.1,,8,816,49,0.1811177737777235,0.8511827155894953,0.29577041557837513,0.049561302765342874,0.0,0.0,1.0
GAM_multi_no_coords,random,False,3,5,0.1,,8,816,48,0.18160730533599037,0.8507486979166666,0.22917933720864758,0.04982521978959507,0.0,0.0,1.0
GAM_multi_no_coords,random,False,4,1,0.1,balanced,4,824,52,0.48178045667945857,0.8472249900358708,0.2885343444376176,0.15820475200355327,0.30935251798561153,0.8269230769230769,0.7629533678756477
GAM_multi_no_coords,random,False,4,2,0.1,balanced,4,824,52,0.44993591391893145,0.8643632921482662,0.31433029945357344,0.1454549963799684,0.308300395256917,0.75,0.7901554404145078
GAM_multi_no_coords,random,False,4,3,0.1,balanced,4,824,50,0.5091959834354381,0.838423772609819,0.3039201914429742,0.16933349300436235,0.2888086642599278,0.8,0.7583979328165374
GAM_multi_no_coords,random,False,4,4,0.1,balanced,4,816,49,0.4780626990689883,0.8537902775190911,0.2573279774189083,0.1557389571275753,0.31746031746031744,0.8163265306122449,0.78748370273794
GAM_multi_no_coords,random,False,4,5,0.1,balanced,4,816,48,0.50332670961974,0.8436686197916666,0.20710307016271565,0.16610613697851523,0.2846715328467153,0.8125,0.7565104166666666
GAM_multi_no_coords,random,False,5,1,0.1,balanced,6,824,52,0.48174323647444006,0.8476982861697888,0.2786397209356209,0.15804236585853018,0.2962962962962963,0.7692307692307693,0.7694300518134715
