model,split_type,use_coords,species,candidate,fold,model__classifier__C,model__classifier__class_weight,model__splines__n_knots,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
GAM_single_with_coords,random,True,Cacophis kreftii,1,1,0.1,,4,103,3,0.11634502077839401,0.9333333333333333,0.2547008547008547,0.02720145204184588,0.0,0.0,1.0
GAM_single_with_coords,random,True,Cacophis kreftii,1,2,0.1,,4,103,3,0.11341960522497758,0.92,0.19120879120879122,0.026897949327334754,0.0,0.0,1.0
GAM_single_with_coords,random,True,Cacophis kreftii,1,3,0.1,,4,102,3,0.12823820871189678,0.7710437710437711,0.08119658119658119,0.028375688824367345,0.0,0.0,1.0
GAM_single_with_coords,random,True,Cacophis kreftii,1,4,0.1,,4,103,4,0.14333880137198404,0.9242424242424242,0.24377705627705626,0.035809122914908384,0.0,0.0,1.0
GAM_single_with_coords,random,True,Cacophis kreftii,1,5,0.1,,4,102,3,0.11521054434365204,0.9360269360269361,0.2409090909090909,0.027269750720839026,0.0,0.0,1.0
GAM_single_with_coords,random,True,Cacophis kreftii,2,1,0.1,,6,103,3,0.11362336324666232,0.9433333333333334,0.32407407407407407,0.02694659739121263,0.0,0.0,1.0
GAM_single_with_coords,random,True,Cacophis kreftii,2,2,0.1,,6,103,3,0.11087117610132012,0.93,0.2272727272727273,0.026653180683643585,0.0,0.0,1.0
GAM_single_with_coords,random,True,Cacophis kreftii,2,3,0.1,,6,102,3,0.12835781973688887,0.7777777777777778,0.08454153605015674,0.028471608420125662,0.0,0.0,1.0
GAM_single_with_coords,random,True,Cacophis kreftii,2,4,0.1,,6,103,4,0.14182257452113223,0.9116161616161615,0.21212121212121213,0.03569188417782048,0.0,0.0,1.0
GAM_single_with_coords,random,True,Cacophis kreftii,2,5,0.1,,6,102,3,0.11257845757728248,0.9427609427609427,0.2619047619047619,0.027024215983406118,0.0,0.0,1.0
GAM_single_with_coords,random,True,Cacophis kreftii,3,1,0.1,,8,103,3,0.1129105557351721,0.9500000000000001,0.5,0.026859725400247395,0.0,0.0,1.0
GAM_single_with_coords,random,True,Cacophis kreftii,3,2,0.1,,8,103,3,0.11106534821969492,0.93,0.2492063492063492,0.02666736652619834,0.0,0.0,1.0
GAM_single_with_coords,random,True,Cacophis kreftii,3,3,0.1,,8,102,3,0.12754287311669787,0.7878787878787878,0.08725245284385069,0.028424368158586413,0.0,0.0,1.0
GAM_single_with_coords,random,True,Cacophis kreftii,3,4,0.1,,8,103,4,0.1422654787958359,0.904040404040404,0.19823232323232323,0.03574866734959291,0.0,0.0,1.0
GAM_single_with_coords,random,True,Cacophis kreftii,3,5,0.1,,8,102,3,0.11202222177993372,0.9461279461279462,0.2694805194805195,0.026965488260246827,0.0,0.0,1.0
