model,split_type,use_coords,candidate,fold,classifier__C,classifier__class_weight,features__n_knots,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
GAM_multi_with_coords,random,True,1,1,0.1,,4,824,52,0.1868649321151402,0.8494170984455959,0.3133907828956175,0.05133478481994016,0.0,0.0,1.0
GAM_multi_with_coords,random,True,1,2,0.1,,4,824,52,0.18486529965351994,0.868523316062176,0.31167627182877666,0.05173487153808535,0.0,0.0,1.0
GAM_multi_with_coords,random,True,1,3,0.1,,4,824,50,0.1852109933341683,0.8342894056847546,0.2651551635689197,0.04998461754140685,0.0,0.0,1.0
GAM_multi_with_coords,random,True,1,4,0.1,,4,816,49,0.18062637800022854,0.8570896415932735,0.26582710916264635,0.049660059663235695,0.0,0.0,1.0
GAM_multi_with_coords,random,True,1,5,0.1,,4,816,48,0.1818797056921999,0.8489040798611112,0.21642515734124185,0.049850727556313076,0.0,0.0,1.0
GAM_multi_with_coords,random,True,2,1,0.1,,6,824,52,0.18474205012196865,0.8519081307293743,0.316191226304481,0.05084753429091953,0.0,0.0,1.0
GAM_multi_with_coords,random,True,2,2,0.1,,6,824,52,0.18481240361010304,0.8587833798326026,0.3096501219845387,0.051527134152964275,0.0,0.0,1.0
GAM_multi_with_coords,random,True,2,3,0.1,,6,824,50,0.18240757824437215,0.8433074935400517,0.2860442676982162,0.04934780965675859,0.0,0.0,1.0
GAM_multi_with_coords,random,True,2,4,0.1,,6,816,49,0.17785447084466907,0.8609743767128756,0.29189191111325397,0.048959618756206996,0.0,0.0,1.0
GAM_multi_with_coords,random,True,2,5,0.1,,6,816,48,0.1801385481757592,0.8526204427083334,0.22760069574847064,0.04960130644397826,0.0,0.0,1.0
GAM_multi_with_coords,random,True,3,1,0.1,,8,824,52,0.18486312806823021,0.8505878836189716,0.3081582364373547,0.05088064811015067,0.0,0.0,1.0
GAM_multi_with_coords,random,True,3,2,0.1,,8,824,52,0.18500012987042114,0.856541450777202,0.3110999042837703,0.051497961106081944,0.0,0.0,1.0
GAM_multi_with_coords,random,True,3,3,0.1,,8,824,50,0.18208650956127756,0.8442635658914729,0.2933229070180365,0.04924469278833446,0.0,0.0,1.0
GAM_multi_with_coords,random,True,3,4,0.1,,8,816,49,0.1775265335400166,0.8603091823430806,0.29558086871362715,0.04886253282238725,0.0,0.0,1.0
GAM_multi_with_coords,random,True,3,5,0.1,,8,816,48,0.18019682988568164,0.852023654513889,0.22756584100703162,0.04961715109018899,0.0,0.0,1.0
GAM_multi_with_coords,random,True,4,1,0.1,balanced,4,824,52,0.47355546399819926,0.8574631327222,0.3108421028277966,0.15478340269218852,0.3146067415730337,0.8076923076923077,0.7759067357512953
GAM_multi_with_coords,random,True,4,2,0.1,balanced,4,824,52,0.4259444819080667,0.8718363889996015,0.31043542299058347,0.1359451486522762,0.34893617021276596,0.7884615384615384,0.8160621761658031
