model,split_type,use_coords,species,candidate,fold,model__classifier__C,model__classifier__class_weight,model__splines__n_knots,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
GAM_single_no_coords,random,False,Cacophis kreftii,1,1,0.1,,4,103,3,0.12146536188545438,0.9,0.22685185185185186,0.027587891981076383,0.0,0.0,1.0
GAM_single_no_coords,random,False,Cacophis kreftii,1,2,0.1,,4,103,3,0.11927022492240438,0.9133333333333333,0.18095238095238098,0.027393284351913377,0.0,0.0,1.0
GAM_single_no_coords,random,False,Cacophis kreftii,1,3,0.1,,4,102,3,0.13390950048824102,0.5488215488215489,0.051628032137777266,0.02867715318705181,0.0,0.0,1.0
GAM_single_no_coords,random,False,Cacophis kreftii,1,4,0.1,,4,103,4,0.15071960649938854,0.9141414141414141,0.22095959595959594,0.036427714341481704,0.0,0.0,1.0
GAM_single_no_coords,random,False,Cacophis kreftii,1,5,0.1,,4,102,3,0.1209180291670828,0.9326599326599327,0.2343304843304843,0.027733437032250976,0.0,0.0,1.0
GAM_single_no_coords,random,False,Cacophis kreftii,2,1,0.1,,6,103,3,0.11932501110200243,0.9133333333333333,0.48444444444444446,0.027398296031446275,0.0,0.0,1.0
GAM_single_no_coords,random,False,Cacophis kreftii,2,2,0.1,,6,103,3,0.1176858270987559,0.9166666666666667,0.19365079365079363,0.02725570276290012,0.0,0.0,1.0
GAM_single_no_coords,random,False,Cacophis kreftii,2,3,0.1,,6,102,3,0.13540189256934454,0.4983164983164983,0.044672470978441126,0.028803212379681822,0.0,0.0,1.0
GAM_single_no_coords,random,False,Cacophis kreftii,2,4,0.1,,6,103,4,0.15087821568412815,0.8888888888888888,0.17648809523809525,0.03645286671988804,0.0,0.0,1.0
GAM_single_no_coords,random,False,Cacophis kreftii,2,5,0.1,,6,102,3,0.11901829908647123,0.9562289562289562,0.31746031746031744,0.027580483050992543,0.0,0.0,1.0
GAM_single_no_coords,random,False,Cacophis kreftii,3,1,0.1,,8,103,3,0.11919139582435043,0.9266666666666667,0.5121212121212121,0.027383221272182633,0.0,0.0,1.0
GAM_single_no_coords,random,False,Cacophis kreftii,3,2,0.1,,8,103,3,0.11853445888495132,0.9166666666666667,0.19365079365079363,0.02733370803518484,0.0,0.0,1.0
GAM_single_no_coords,random,False,Cacophis kreftii,3,3,0.1,,8,102,3,0.13575677198335848,0.4814814814814815,0.043828502415458936,0.028825378646480115,0.0,0.0,1.0
GAM_single_no_coords,random,False,Cacophis kreftii,3,4,0.1,,8,103,4,0.15270078397121492,0.8762626262626263,0.16144823313940962,0.036601052787872075,0.0,0.0,1.0
GAM_single_no_coords,random,False,Cacophis kreftii,3,5,0.1,,8,102,3,0.11924402790232477,0.9595959595959596,0.3206349206349206,0.027601835834846693,0.0,0.0,1.0
GAM_single_no_coords,random,False,Cacophis kreftii,4,1,0.1,balanced,4,103,3,0.3737347384334152,0.92,0.4642857142857143,0.10610660094474121,0.23529411764705882,0.6666666666666666,0.88
GAM_single_no_coords,random,False,Cacophis kreftii,4,2,0.1,balanced,4,103,3,0.4923719540546522,0.9133333333333333,0.18888888888888888,0.1570004526424346,0.25,1.0,0.82
GAM_single_no_coords,random,False,Cacophis kreftii,4,3,0.1,balanced,4,102,3,0.4788427769578168,0.5757575757575757,0.05338723776223776,0.1550428494875615,0.07407407407407407,0.3333333333333333,0.7676767676767676
GAM_single_no_coords,random,False,Cacophis kreftii,4,4,0.1,balanced,4,103,4,0.4915994375142116,0.9015151515151515,0.19930555555555557,0.15764612022666288,0.2857142857142857,1.0,0.797979797979798
GAM_single_no_coords,random,False,Cacophis kreftii,4,5,0.1,balanced,4,102,3,0.4530891391869376,0.936026936026936,0.22962962962962963,0.14008056101845465,0.2857142857142857,1.0,0.8484848484848485
GAM_single_no_coords,random,False,Cacophis kreftii,5,1,0.1,balanced,6,103,3,0.3561108026228423,0.9299999999999999,0.48120300751879697,0.0999647749363202,0.23529411764705882,0.6666666666666666,0.88
GAM_single_no_coords,random,False,Cacophis kreftii,5,2,0.1,balanced,6,103,3,0.4692742286137423,0.9400000000000001,0.4772727272727273,0.14787169953925566,0.2608695652173913,1.0,0.83
GAM_single_no_coords,random,False,Cacophis kreftii,5,3,0.1,balanced,6,102,3,0.4437518571242954,0.5387205387205387,0.051062741012847926,0.13898476780021704,0.1111111111111111,0.3333333333333333,0.8585858585858586
GAM_single_no_coords,random,False,Cacophis kreftii,5,4,0.1,balanced,6,103,4,0.47882125259461844,0.8762626262626263,0.16602564102564105,0.15364057939453282,0.2857142857142857,1.0,0.797979797979798
GAM_single_no_coords,random,False,Cacophis kreftii,5,5,0.1,balanced,6,102,3,0.4275959880730692,0.9595959595959596,0.3206349206349206,0.1304666146924051,0.3,1.0,0.8585858585858586
GAM_single_no_coords,random,False,Cacophis kreftii,6,1,0.1,balanced,8,103,3,0.3499373845538293,0.9333333333333333,0.49707602339181284,0.09758942186789286,0.2857142857142857,0.6666666666666666,0.91
GAM_single_no_coords,random,False,Cacophis kreftii,6,2,0.1,balanced,8,103,3,0.453659029103764,0.93,0.2987012987012987,0.1418951765096048,0.25,1.0,0.82
GAM_single_no_coords,random,False,Cacophis kreftii,6,3,0.1,balanced,8,102,3,0.4357516952589337,0.5420875420875421,0.051225820962663066,0.1350049522347969,0.11764705882352941,0.3333333333333333,0.8686868686868687
GAM_single_no_coords,random,False,Cacophis kreftii,6,4,0.1,balanced,8,103,4,0.46979274992524467,0.8611111111111112,0.1523008241758242,0.14984507883807274,0.21428571428571427,0.75,0.7878787878787878
