test_plot,nearest_train_plot,distance_km
7.0,5.0,0.40021375376122803
15.0,16.0,0.1969300732527448
21.0,18.0,0.280830675023821
29.0,27.0,0.2807463152118777
30.0,33.0,0.28080288386074237
31.0,34.0,0.4504472011015353
37.0,38.0,0.806743152606024
41.0,39.0,0.20028398506616393
47.0,40.0,1.4429165107101145
52.0,57.0,0.28063320588105906
56.0,57.0,0.20651167895457911
61.0,59.0,0.28063010440332564
62.0,60.0,0.2806262196124557
65.0,76.0,0.63214012393016
72.0,73.0,0.1967250930238734
78.0,79.0,0.206551916850723
84.0,82.0,0.2876189795257914
87.0,88.0,1.0791433389302258
92.0,93.0,0.19660045728221676
97.0,105.0,1.6177237197795726
99.0,94.0,0.4508401539125509
101.0,100.0,0.2808962948880056
108.0,109.0,0.5999205620498302
116.0,114.0,0.28076478818300615
117.0,120.0,0.4502227258662027
121.0,127.0,0.8251202861482491
125.0,120.0,0.6355451651215651
129.0,124.0,1.283020624629709
132.0,112.0,3.2957803298228843
133.0,124.0,1.9847105942983077
136.0,135.0,2.280673280202196
139.0,137.0,0.6318575164775955
141.0,140.0,0.20623413830232054
148.0,147.0,0.44963946814994793
153.0,154.0,0.9999015672406643
160.0,159.0,0.196344063845739
165.0,166.0,0.6354453247064928
169.0,170.0,1.0226384891273814
172.0,176.0,2.7902556463356265
173.0,171.0,0.6346048597130157
175.0,177.0,0.8003972739039565
180.0,183.0,1.218147018951359
181.0,183.0,1.2165278895046547
185.0,188.0,0.7235785443608161
194.0,190.0,1.0058795621432546
195.0,193.0,0.6404825803769252
203.0,200.0,1.625950326906345
205.0,206.0,0.8964613812212484
209.0,210.0,0.4017885412930612
214.0,215.0,0.20568237326047958
226.0,225.0,1.29340896830616
231.0,229.0,1.0790957896105942
232.0,233.0,3.071244559957013
236.0,235.0,0.8019566031043429
237.0,235.0,1.1718613771052293
238.0,239.0,0.6345492284927702
253.0,258.0,0.8277907937438794
260.0,257.0,0.6322980173302521
261.0,259.0,0.717377690363904
279.0,281.0,0.2799863255834179
282.0,284.0,0.27949327662755613
283.0,288.0,0.8255592464373428
285.0,284.0,0.19505456801276821
290.0,295.0,5.042135423963107
303.0,301.0,0.44712466176377014
307.0,309.0,0.9998980810764688
308.0,310.0,1.133116642035377
322.0,320.0,1.0097064662575554
328.0,327.0,0.6037418847553346
329.0,327.0,1.020717245230525
339.0,341.0,0.5648594739721442
352.0,355.0,0.7217640563227575
354.0,353.0,0.7963955779514582
369.0,363.0,0.9050681438218882
372.0,356.0,5.252269782196853
379.0,378.0,1.2205320643321762
380.0,382.0,1.3514632239014814
381.0,382.0,1.087367250379677
384.0,386.0,0.6345830403607954
394.0,392.0,2.9745407578234966
395.0,392.0,4.2668466167192385
396.0,398.0,0.631729617329532
400.0,406.0,1.1359343968770668
403.0,404.0,1.02711567874614
407.0,406.0,0.6012454728706396
413.0,418.0,1.4606814019086902
415.0,417.0,2.243558263650074
420.0,424.0,2.0006657095850633
422.0,424.0,1.0805507455736567
427.0,429.0,0.6317381535210137
447.0,451.0,1.4217869467730881
449.0,451.0,1.902170758251963
450.0,448.0,0.459004079313692
458.0,451.0,1.41642640690018
461.0,460.0,2.5154518145653473
462.0,460.0,4.7715179950079385
463.0,460.0,4.711983578224488
464.0,465.0,1.1667585504947764
475.0,476.0,0.8126566858256805
480.0,479.0,0.9035948907724118
481.0,479.0,1.7185607004316583
488.0,489.0,0.4429402094934463
490.0,489.0,0.7335795815034251
494.0,495.0,0.4423740290533322
499.0,498.0,1.2730208831660788
507.0,505.0,0.8197803198029479
508.0,509.0,1.000207553337119
510.0,512.0,1.44865507782486
514.0,512.0,1.130915572307701
525.0,528.0,15.904516820382511
531.0,529.0,1.285329268267788
533.0,534.0,1.023199812097735
537.0,538.0,0.7242841043958438
545.0,546.0,0.6339515002859191
558.0,557.0,1.0216818523103588
567.0,568.0,0.8329552168901265
572.0,570.0,0.6016245656794345
576.0,575.0,1.5695902456645097
579.0,580.0,1.1365540378290675
585.0,586.0,1.0021231448455086
599.0,594.0,2.579437626461347
602.0,605.0,2.6978541874103943
606.0,607.0,1.0064713700441321
624.0,629.0,1.4279823663713727
628.0,626.0,1.2904252609310058
630.0,629.0,0.720089394518204
639.0,637.0,1.9069847589724154
640.0,641.0,1.2876817138283205
