use_coords,split_type,overall_log_loss_single_tuned,overall_log_loss_multi_tuned,multi_wins_after_tuning
with_coords,random,0.19883431024706155,0.17015607027282445,True
with_coords,spatial,0.22354083322847076,0.1966294087713235,True
no_coords,random,0.23433942384728668,0.17450171783158225,True
no_coords,spatial,0.3223591919008646,0.2088134848266342,True
