species,single_vs_pooled_importance_agreement
Cacophis kreftii,0.880952380952381
Calyptotis scutirostrum,0.7380952380952381
Coeranoscincus reticulatus,0.9285714285714287
Egernia mcpheei,0.8095238095238096
Eulamprus murrayi,-0.30952380952380953
Ophioscincus truncatus,0.8333333333333335
Pseudechis porphyricaus,0.5952380952380953
Saltuarius swaini,0.6428571428571429
