scheme,strategy,test_log_loss,test_auc,test_brier,cv_log_loss_estimate,optimism_test_minus_cv,macro_log_loss,prev_weighted_log_loss
random,single,0.18617552819947997,0.8766207938907008,0.04894294501950891,0.15269895054659618,0.03347657765288378,0.18617552819948002,0.3337164437262215
random,multi,0.17884629252154713,0.8947895950998329,0.04967998709970944,0.15909043278416685,0.019755859737380282,0.1788462925215471,0.34167130764500103
random,multi_int,0.1635410443983232,0.9002625089491688,0.04718876488279167,0.15701412867537465,0.006526915722948556,0.1635410443983232,0.29356138386341807
spatial,single,0.1601863783847027,0.9000397740832075,0.0454470569336979,0.17022113097407993,-0.010034752589377222,0.16018637838470273,0.29960894299570745
spatial,multi,0.16237846551761764,0.8987510937872882,0.046622467309763715,0.17824946158057128,-0.01587099606295364,0.16237846551761764,0.28952804946388433
spatial,multi_int,0.15835143054069453,0.9005488823482619,0.044659032428563325,0.1813080392463545,-0.022956608705659964,0.15835143054069456,0.276698486224928
