scheme,strategy,species,n_pos,prevalence,log_loss,brier,auc,f1,sensitivity,specificity,hidden_layer_sizes,alpha,learning_rate_init,threshold,reliable
spatial,multi,Egernia mcpheei,1,0.007751937984496124,0.048263295600706024,0.008414150989266275,0.796875,0.0,0.0,0.8671875,"(16,)",0.1,0.001,0.05,False
spatial,multi,Pseudechis porphyricaus,3,0.023255813953488372,0.09112286242773823,0.022233037201888448,0.8756613756613756,0.1935483870967742,1.0,0.8015873015873016,"(16,)",0.1,0.001,0.05,False
spatial,multi,Cacophis kreftii,5,0.03875968992248062,0.13370242972765348,0.036082482684334886,0.8354838709677419,0.2631578947368421,1.0,0.7741935483870968,"(16,)",0.1,0.001,0.05,True
spatial,multi,Calyptotis scutirostrum,10,0.07751937984496124,0.18145474528913516,0.056828041306054546,0.911764705882353,0.5161290322580645,0.8,0.8907563025210085,"(16,)",0.1,0.001,0.2,True
spatial,multi,Coeranoscincus reticulatus,21,0.16279069767441862,0.3341814938526872,0.11083199155754168,0.8403880070546738,0.5373134328358209,0.8571428571428571,0.7407407407407407,"(16,)",0.1,0.001,0.15,True
spatial,multi,Ophioscincus truncatus,23,0.17829457364341086,0.3807314429863231,0.12231462055992902,0.79532403609516,0.45161290322580644,0.6086956521739131,0.7641509433962265,"(16,)",0.1,0.001,0.25,True
spatial,multi_int,Eulamprus murrayi,0,0.0,0.0067671057025849544,0.00019896457168456366,,0.0,0.0,0.9844961240310077,"(8,)",0.1,0.001,0.05,False
spatial,multi_int,Saltuarius swaini,2,0.015503875968992248,0.1315192717787848,0.015883794395777102,0.11023622047244097,0.0,0.0,0.9763779527559056,"(8,)",0.1,0.001,0.05,False
spatial,multi_int,Egernia mcpheei,1,0.007751937984496124,0.035151992860726254,0.007133116071849755,0.984375,0.13333333333333333,1.0,0.8984375,"(8,)",0.1,0.001,0.05,False
spatial,multi_int,Pseudechis porphyricaus,3,0.023255813953488372,0.09975679034062826,0.02224234271529504,0.7724867724867724,0.13333333333333333,0.3333333333333333,0.9126984126984127,"(8,)",0.1,0.001,0.05,False
spatial,multi_int,Cacophis kreftii,5,0.03875968992248062,0.1473148358815875,0.03638135943513762,0.7983870967741935,0.1875,0.6,0.8064516129032258,"(8,)",0.1,0.001,0.05,True
spatial,multi_int,Calyptotis scutirostrum,10,0.07751937984496124,0.16790262063091416,0.05335409029924363,0.9319327731092437,0.47619047619047616,1.0,0.8151260504201681,"(8,)",0.1,0.001,0.1,True
spatial,multi_int,Coeranoscincus reticulatus,21,0.16279069767441862,0.31541635626727316,0.10441426930681577,0.8668430335097002,0.5098039215686274,0.6190476190476191,0.8425925925925926,"(8,)",0.1,0.001,0.3,True
spatial,multi_int,Ophioscincus truncatus,23,0.17829457364341086,0.36298247086305746,0.1176643226327031,0.8199343724364234,0.46153846153846156,0.391304347826087,0.9339622641509434,"(8,)",0.1,0.001,0.35,True
