approach,log_loss,auc,brier
single,0.1601863783847027,0.9000397740832075,0.0454470569336979
multi,0.16237846551761764,0.8987510937872882,0.046622467309763715
multi_int,0.15835143054069456,0.9005488823482619,0.04465903242856332
