species,n_val,presence_rate,log_loss_single,log_loss_multi,log_loss_multi_int,best_approach
Eulamprus murrayi,129,0.0,0.008891901088733818,0.009572868683160856,0.006767105702584955,multi_int
Saltuarius swaini,129,0.015503875968992248,0.10408028358844511,0.11999858557353704,0.1315192717787848,single
Egernia mcpheei,129,0.007751937984496124,0.05404708388502646,0.048263295600706024,0.035151992860726254,multi_int
Pseudechis porphyricaus,129,0.023255813953488372,0.06411620083596428,0.09112286242773823,0.09975679034062825,single
Cacophis kreftii,129,0.03875968992248062,0.1260036386493273,0.13370242972765345,0.14731483588158753,single
Calyptotis scutirostrum,129,0.07751937984496124,0.15746304040477313,0.18145474528913516,0.16790262063091416,single
Coeranoscincus reticulatus,129,0.16279069767441862,0.4115338822631402,0.3341814938526872,0.31541635626727316,multi_int
Ophioscincus truncatus,129,0.17829457364341086,0.35535499636221135,0.3807314429863231,0.3629824708630574,single
