species,dev_pos,random_ll_mean,random_ll_sd,spatial_ll_mean,spatial_ll_sd,optimism_gap,gap_pct,paired_t,p_value,morans_I,morans_p,reliable
Eulamprus murrayi,3.0,0.049098887205418565,0.04075014541729924,0.04926193400001556,0.03271537707127324,0.0001630467945969924,0.3320783909314314,0.010515542022793851,0.9921135251609338,-0.021522841681977885,0.046,False
Saltuarius swaini,6.0,0.06866560279422752,0.03575639025423776,0.06906725230415992,0.07340717188818986,0.0004016495099323919,0.5849355333499776,0.00995469744913689,0.9925341310451866,-0.003963869061423739,0.846,False
Egernia mcpheei,11.0,0.09371288121837597,0.07567387143035503,0.08963099644310292,0.06369465706342863,-0.004081884775273048,-4.35573500910848,-0.0799093373271535,0.9401475919127705,-0.04616500077129693,0.028,False
Pseudechis porphyricaus,11.0,0.10566336429869036,0.03577830224896755,0.11342104220335088,0.07176217095915197,0.007757677904660518,7.34188046741634,0.24155953510435532,0.820999515297656,-0.03346310021105515,0.058,False
Cacophis kreftii,15.0,0.1090541104706267,0.026276710391780065,0.11835682864723888,0.10152784924748624,0.009302718176612185,8.53036913186123,0.21605851130107057,0.8395129639350062,0.08367980580755394,0.004,True
Calyptotis scutirostrum,40.0,0.18152927161030635,0.06764265605056587,0.2007310635910013,0.17621851906610567,0.019201791980694938,10.57779376866334,0.23702325359177606,0.824282951849932,0.12665965017659858,0.002,True
Coeranoscincus reticulatus,83.0,0.3019531251969953,0.04794922768505475,0.31276065092598054,0.1226847503943138,0.010807525728985246,3.57920644866132,0.15329687733219494,0.8855867767890926,0.12687231291524761,0.002,True
Ophioscincus truncatus,91.0,0.3836493000486879,0.061208326770738154,0.49423806546192284,0.0932549960141524,0.11058876541323492,28.825483429580192,2.1463201383605233,0.09838707103912907,0.10186380921511516,0.002,True
OVERALL(macro),,0.1616658178554161,0.01793767666722992,0.18093347919709662,0.042540167021394806,0.019267661341680536,11.918203611175457,0.8567488767682979,0.4398776365503076,,,False
