,dev_pos,single_ll,multi_ll,delta
Eulamprus murrayi,3.0,0.0476481909546286,0.04988795435217469,0.002239763397546092
Saltuarius swaini,6.0,0.06650264291836458,0.07791098147907438,0.011408338560709802
Egernia mcpheei,11.0,0.09874958362407635,0.09260955574807488,-0.006140027876001472
Pseudechis porphyricaus,11.0,0.11654377010068323,0.12088258256065172,0.004338812459968491
Cacophis kreftii,15.0,0.12328097511740851,0.12151479466248252,-0.0017661804549259918
Calyptotis scutirostrum,40.0,0.18714026285537988,0.18494401481023137,-0.002196248045148508
Coeranoscincus reticulatus,83.0,0.31217322594337393,0.31434444724748306,0.0021712213041091277
Ophioscincus truncatus,91.0,0.46313876357288314,0.46411779091151856,0.0009790273386354187
